Ulasan,Rating,Aspek,Sentimen
game yang membuat betah tapi tolong commander miya maupun wanwan di pertimbangkan lagi terutama miya,5,satisfaction,positive
games nya bagus tapi sayang kalau hero yang di butuh kan suka jarang muncul padahal setoknya masih banyak contoh hero gold padahal masih biji saya ngerol dari gold sampei habis tidak ada satupun hero gold yang di butuhkan muncul padahal sudah di level,2,satisfaction,negative
busuk suka tapi bosan giliran saya unggal tinggal satu hero ku giliran musuh unggul enggak ada pun hero musuh mati enggak jelas hero bagus damage enggak ada musuh jelek hero nya damage enggak ngontak malas jadinya main darah punya ku boros giliran darah musuh hemat kan anjing diawal menyala selama seratus tahun enggak taunya di akhir peringkat,1,satisfaction,negative
akun saya hilang padahal sudah dikaitkan akun moonton saat login malah hilang,1,satisfaction,negative
sangat seru sekali bisa dimainkan di hape samsung,5,satisfaction,positive
bagus dan jauh lebih baik setelah update,5,satisfaction,positive
plis dong tambahkan comander odette pliss ssssssss,3,satisfaction,negative
pembodohan game ini sudah full bintang masih kalah sama yang kroco yang menang jumlah lawak bett dari segi lose streak memang begitu moontoon kau setting ya mengapa bintang masih kalah power nya bintang moontod,1,satisfaction,negative
tambah rusak ini game level maks yang muncul di shop kebanyakan hero gold sama tidak ngotak,1,effectiveness,negative
kesetaraan dan sesuai skil jangan pilih pilih kalau mau kasih menang,1,effectiveness,negative
buat have fun bisa tapi kalau terus terus kalah juga stres di perbaiki lah algoritma nya masa main selama match hero nya enggak muncul muncul yang dibutuhkan,1,satisfaction,negative
magic chess sekarang tidak seru lebih seru senergi dulu sekarang malah tidak ada tolong di balikin lagi senergi dulu plis,1,satisfaction,negative
mantap game nya bagus tapi kok kalau lama lama nanti lag ya apa ini ho ku atau pemain nya jadi tolong diperbaiki,5,satisfaction,negative
game pilih kasih gilirian saya main sinergi yang disamain sama orang terus malah saya yang tusun bukan musuh yang sinerginya mengikuti saya malah ws,1,satisfaction,negative
kalau bisa membuat aplikasi magic chess go go offline biar lebih asyik,5,unknown,positive
game nya seru dan gampang,5,satisfaction,positive
semua produk moonton masalahnya ada pada koneksi mlbb mcgg,1,unknown,neutral
pusing main ml lebih baik mcgg saja,5,satisfaction,negative
makin tidak jelas montoon masak disuruh roll bawahh stok hero bintang di kurangi makin malas main,1,satisfaction,negative
ini game makin parah sangat memeras kuatogak seperti dluin game harus pakai wifiklau pakai kuatohrus gbklau atau gb mndingan tidak usah main game inigak sampai mnit sudah habis kuato nya,1,satisfaction,negative
saya kuota masih banyak streaming lancar tapi saat di pertengahan pertandingan terus menghubungkan ulang sudah saya coba matikan data seluler dan mode pesawat tetap saja dan membuat saya kalah dalam pertandingan bintang,1,satisfaction,negative
game apa ini cok tidak jelas sekali masa gord bintang bisa ngalahin hero bintang harga tidak logis jembod,1,satisfaction,negative
monton ayo duel ane menggunakan sumoner,1,satisfaction,neutral
gobloggggggg tidak pernah beruntung cookkk tambah susah mainnya gara gara tidak pernah beruntung,1,satisfaction,negative
pengalaman yang baik saya sangat suka kalau bisa di tambahkan tombol beralihke aplikasi mobile legend legend seperti dari mobile lagend ke mcgg terimakasih,5,satisfaction,positive
lag mulu membuat malas main,1,effectiveness,negative
update yang sangat tidak balance,3,satisfaction,negative
game ampasss game kikirrr muntunn pelitt sampai stres kagak dikasih hero yang saya mau,1,satisfaction,negative
saya senang sekali dengan permainan ini,5,satisfaction,positive
kedua nick name ini tukang nge troll merugikan player lain yang solo rank mereka duo troll tahu_ghodok dan zuperzenaex,1,satisfaction,negative
wooohhh ganti saja nama aplikasi nya jadi dawnbringer go go go mengasih sinergi yang ngotak dikit dongmasa sekali samber petir mati sinergi beginian yang membuat malas mainmasih mending lawan kangkung lah ini dawnbringer sudah keras sakit lagi tidak sekalian nanti adakann sinergi santet biar sudah hero nya langsung mati sama pemainnya sekalian ini kalau enggak di benerin sih benar benar tidak mendukung keluhan pemain bisa saja saya laporin nih aplikasi ke pihak manajemen play store,2,effectiveness,negative
bagustetapi kadang kadang tidak sesuai ekspetasi masih enakann mc yang dulu,4,satisfaction,positive
magic cest dari dulu sama masalah nya tidak adil antara player ada yang lucky ada yang nggakjadi gameplay nya tidak seimbang berat sebelah ada yang bagus shope nya ada yang busuk kalau bisa disetarakan baru adil saya player lama kecewa,2,satisfaction,negative
bagus sebenarnya buat happy happy tapii makin lamaa makin keseringan ngestak dilooding screen bikinn tidak mood,3,satisfaction,negative
game seru dan menantang itu is amazing,5,satisfaction,positive
monton balikin odet elementalis guaaaaa saya kalah muluuuuu sekaranggg,1,effectiveness,negative
game nya seru tapi masih banyak yang bisa menggunakan cheat masa harga gold bintang dua bisa kalah sama harga gold bintang dua tolong lah perbaiki agar tidak ada yang bisa cheat,3,satisfaction,negative
bisa bisa nya akun saya di login orang terus saya tidak bisa login padahal akun nya sudah nyantol sama akun moonton mobile legend saya memperbaiki lagi dong masa bisa keretas sama orang lain,1,satisfaction,negative
tolong mcgg turunkan skill commander miya atau ganti skill commander miya karena dia tidak bagus untuk di lawan masa commander ikut menyerang kan enggak lucu moonton,3,satisfaction,negative
game apa ini pakai comander thars kok natan nya tidak keluar sampai kali padahal natan nya,3,satisfaction,negative
minimal kasih musuh yang cupu seperti kasihnya yang jago waee sudah bintang masih kalah waee banyak masah kalah tidak adil juga vs,1,satisfaction,negative
setelah update malah ada fitur tidak guna sgala comander bisa jalan ke arena pertempuran malah membuat menutupi permainan tidak sih jadi malas mainnya,1,satisfaction,negative
koneksi nya dulu lah diperbaiki sudah pakai wifi dan data seluler tapi tetap lag jadi malas main mending main game sebelah lebih bagus sinyal nya auto uninstall,1,satisfaction,negative
sinyal nnya di perbaiki lah tolong main game ini,1,satisfaction,negative
masih banyak bug pakai purify biar enggak enggak ke stun tapi masih bisa kena stun itu di perbaiki merugikan pemain buat apa di buat purify kalau fungsi utama nya saja enggak bekerja,2,satisfaction,negative
game ini sangatlah buruk jelek dan enggak bermutu sangat merugikan waktu di kendalikan oleh algoritma game yang bisa mereka atur untung menang atau kalah game pembodohan,1,effectiveness,negative
bug nge lag error,1,effectiveness,negative
top the best top recomended,5,unknown,positive
mana mode baru nya saya sudah masuk ke adven server tapi mana mode practise nya mana mode yang lama,1,satisfaction,negative
seru dan enak di mainkan,5,satisfaction,positive
suka sekali tolong dibantu hehe biar global min,5,satisfaction,positive
tidak mengerti lagi algoritma update terbarucuma saya sendiri yang main eurodito di shop tetap saja susah dapetnyanyari bintang pun susahmalah yang orang player sama main dawnbringer lebih mudah dpat bintang makin update makin ampas,1,satisfaction,negative
curang sama hero yang bisa menembak kasihan yang tidak bisa menembak sudah kalah,4,satisfaction,negative
kalau sudah ws pasti kena dark sistem heran masa hiro yang gwe cari² tidak pernah dikeluarin sampai habis gol banyk sekali tetap tidak di keluarkan padahal persentasenya sudah paling tinggi tetap tidak di kasih tolong boleh di benerin tidak usah ada dark sistem kali man kan jadi hilang ws saya bukannya saya mengatur ya tapi tolong hargai kita² yang mainin game mu lah moonton semoga dijawab,3,effectiveness,negative
secara keseluruhan lebih suka dengan magic chess lama dari sinergi sampai hero yang masih satu sama mlbb,4,satisfaction,positive
terhibur seru sekali pokok nya mengisi hari hari kosong game ini seru sekali pokoknya,5,satisfaction,positive
kalau maintenance itu diberitahukan jangan tiba tiba lagi main dibuat lag buat tusun saja,1,satisfaction,negative
gamenya terlalu boros memori jadi orang yang ponsel nya kentang tidak bisa main jadi saya mohon dari pihak game untuk mengurangkan data yang diperoleh dari hasil game,1,satisfaction,negative
comander nya tidak seimbang,1,satisfaction,negative
game magic chess gogo sangat seru,5,satisfaction,positive
game kikir pelit tidak mau kasih menang ke pemainya,1,satisfaction,negative
bagus ton cuma masukannya di waktu persiapan sebelum war itu terlalu cepat jadi kalau bisa di revisi lagi biar lebih lamaan,4,satisfaction,negative
sinergi hanya comander yang bisa itu pun dengan syarat kartu crystal crystal di pase pemilihan blesing terus untuk comander yang lain bagaimana caranya untuk mengatifkan sinergi game kocak enggak niat membuat ya enggak usah di mengadakan sinergi untuk sekarang hanya sinergi untuk semua comander,5,satisfaction,positive
waktu saat war tambahkan lagi woy,4,satisfaction,negative
game nya cukup bagus buat ngisi waktu luang efek efek nya juga lumayan kerurangan nya mungkin di koneksi koneksinya,4,satisfaction,positive
ilangin tutorial lah woy gblk sekali enggak bisa di skip,1,satisfaction,negative
update resource baru malah stuck di logo update gara gagal mengunduh resource aneh,1,effectiveness,negative
dari awal loading screen tiba tiba menghubungkan kan ulang terus sampai ke akhir sampai relog kali tidak jelas padahal sinyal bagus,1,satisfaction,negative
damage commander nya tidak ngontak kalau sudah fase keatas,1,satisfaction,neutral
alah game burikkkkk enggak usah download entar nyeselll game jengkelin apalahhh,1,satisfaction,negative
tolong mc perbaiki koneksi nya saya sudah pakai paket data sudah pakai wifi tetap saja lag seperti ml ini game lag sekali btw lokasi saya depok bukan perhutanan tidak logis kalau kota itu lag,5,effectiveness,negative
kasih saya beruntung terus pliss,5,unknown,positive
game jelek sengaja sudah mau kalah baru dikasih heron yang dibutuhkan tidak pernah dapat cristal dan hero yang dibutuhkan pertandingan kalah terus gara semua pada dapat sinergi yang sempurna mohon jangan meledek player nya saya sangat tersinggung karena hal ini,1,satisfaction,negative
lebih bagus lagi kalau mudah bintang moonton,5,satisfaction,positive
muak lama main game ini sistel roll hero lu benerin dulu deh hero gold kan banyak ya tapi tiap roll yang keluar heronya itu doang bahkan misalkan kita berada di lv yang berarti presentase kita dapat hero harga itu paling besar presentasenya dari pada hero harga lain yang diatas atau dibawahnya tapi yang keluar paling sering keluar itu hero di atas atau di bawahnya sistem roll kalian itu tidak on point,1,satisfaction,negative
yang penting mainbos gameya ok,5,unknown,positive
game rusak ini mah tidak pernah di kasih win streak,1,satisfaction,negative
bagus sekali tapi tidak bisa melihat profil player lain tolong tambah kan seperti cek profil player lain seperti mlbb agar bisa mencontoh build pro player,5,satisfaction,neutral
server nge bug mindri tdi siang main ping merah terus sampai skrangpdhal sinyal wiffi bagus data seluler juga bagusbuat main mlbb lancar lancar saja,5,satisfaction,positive
deh malas lah main magic chase sekarang,1,satisfaction,negative
makin kesini makin malas main game ini comander nya ikut serang aktifkan sinerge sampai dengan bintang pun tidak ada guna nya kalah dengan skill comander baru yang tidak ngotak buat apa ada nya sinergi kalau tidak guna oh iya game ini makin kesini seperti game pay tapi win,1,satisfaction,negative
masalah game play selalu stack,1,unknown,negative
aplikasi ini antuk sayah main lebih jago mantap lah terimakasi,5,satisfaction,positive
paling susah mendapatkan hero sama koincontoh argusalfa baru gampang sekali mati,1,satisfaction,negative
makin di update malah kagak jelas jadi main nya kagak asik sumpah kembalikan seperti awal lagi,1,effectiveness,negative
pensi main gara di tabrak jhony langsung hilang,1,satisfaction,negative
mana ada saya dapat hero jelek terus minimal sama ratakan,1,satisfaction,negative
game strategi nya mengasah otak,4,satisfaction,positive
aneh game lag mulu padahal waktu coba buka aplikasi lain koneksi aman waktu main malah lag,1,effectiveness,negative
mending mcg season terlalu main sinergi jadi harus sinergi malas hero harga gold bintang kalah sama hero harga gold bintang garagara sinergi busuk,1,satisfaction,negative
game tolol tidak masuk akal masa pury masih kena molina sama kena lord vexana mending mc yang dulu uninstal,1,effectiveness,negative
game kontoll game taikkkkkkkkk,1,unknown,negative
game lol enggak usah di saya kalau main membuat stres saja,1,satisfaction,negative
game ini memang terbaek,5,unknown,positive
seru tapi mohon untuk di permudah menaikan bintang commander,4,satisfaction,positive
sudah ok sih kayaknya,3,unknown,positive
gamenya bagus tapi buat vote bannya tidak jelas yang di vote paling banyak buat tidak diban malah tidak keban terus sekalinya kalah kalahhhh terus seperti tidak ada menannya sengaja ku kasih bintang biar pada lihat terus heronya saat mencari tidak pernah keluar sekali nya mau balik lobby malah keluar mana mau bintang pokoknya mohon untuk devnya perbaiki sistem vote bannya overall gamenya bagus cuman itu saja keluh kesah saya kalau buat yang lainnya bagus enak buat nyantai,5,satisfaction,positive
balikin magic chess yang dulu,1,unknown,negative
game enggak jelas masak bisa ketemu top tertinggi dalam kali game play bisanya hero gold bintang ketemu hero gold kala enggak jelas makin kesini membuat orang malas main tidak seperti magig ces jaman masih di ml,1,satisfaction,negative
quit addictive dan menghibur,5,satisfaction,positive
game nya bagus tapi satu yang harus di tambahkan misal nya baru main awal game bisa memilih hero nya pilihan min semoga di balas,5,satisfaction,neutral
seru tapi tidak beruntung mulu,5,satisfaction,negative
min tambahkan mode squad vs seperti game sebelah,1,satisfaction,neutral
ayo mainkan game magic chese go go,5,satisfaction,neutral
sistem seperti judol menang sekali seternya loss perolehan hero tidak seimbang tidak layak di mainkan,1,satisfaction,negative
game anjing drak sytem nya sama seperti game moba nya susah jdikan sinergi nya,1,satisfaction,negative
bagus buat orang yang sudah stres lose trik di mobile legends mantap moonton,5,satisfaction,positive
ling tembok natalia santet di tunggu kehadiranya,1,satisfaction,negative
jib ajib game nya,5,unknown,negative
bapak ku ikutan main,4,satisfaction,neutral
game tidak adilkarena sinergi aktif menang melawan sinergi aktifpadahal skor point skor damage jauh bedatapi tetap saja kalahterus semua comander belum di balance juga tolong stabil kan semua comandersinergi dll berharap lebih dari moonton,1,satisfaction,negative
lag tidak jelas koneksi lancar tapi ini game menghubungkan,1,effectiveness,negative
kasih waktu jangan dtik lah,1,satisfaction,negative
menyesal saya install game ini masak main game kok harus kalah saya lose strike sampai kali berturutturut garagara gold habis buat refresh hero yang tidak pernah muncul go go card tidak jelas dan item yang muncul di setiap babak bonus tidak pernah sesuai kebutuhan strategi sudah ok tetap saja dibikin kalah jadi saya putuskan untuk uninstall saja buangbuang waktu saja main game ini terhibur kagak emosi iya,1,satisfaction,negative
game santai tapi penuh tantangan dan strategi saya suka,5,satisfaction,positive
lag nya parah sekali jadi tolong diperbaiki lagi,5,effectiveness,negative
game enggak jelas mengasih musuh tidak ngotak,1,satisfaction,negative
selalu ada leg meski wifi bagus game tapi,1,satisfaction,positive
buruk jelek sampah aneh padahal saya sudah menggunakan clone tapi hero di persediaannya berkurang memang game enggak jelas,1,satisfaction,negative
game ini seru dan juga di main kan bang winda basudara saat saya main game ini seru sekali setartigi ya sulit tapi ku sudah belajar jadi santai main ini game bagus sekali,5,satisfaction,positive
permainan yang sangat baik,5,satisfaction,positive
gamenya menarikk strateginya bagus semoga kedepannya ada skin atau comander free,5,satisfaction,positive
saran mbak data nya dikurangi sih,4,effectiveness,negative
game nya tidak jelas sekali menang seterusnya nya lose treak hero sunergi jarang kluar,1,satisfaction,negative
sangat bagus dan kreatif,5,satisfaction,positive
koneksi bagus tapi game nya lag sering keluar sendiri mmemek,1,satisfaction,negative
fitur blessing lu benerin diotttt,1,satisfaction,negative
saya tidak mengerti dengan sistem magic ches gogogua player terasa di anggap bot awal main damage player lain sakit padahal awal maindamage saya tidak sakit sama sekali di tambah durasi waktu bentar bangetlostrek terus jadi malas main kalau ginitrus masih ada bug sungguh bingung mau di unistal tapi masih suka main jadi dilema,3,satisfaction,negative
keren sekali sampai saya main sudah lama ada semua hero mlbb ini game faforit saya sama mlbb,5,effectiveness,positive
game busuk terlalu pay tapi win damage hero tidak jelas server busuk,1,satisfaction,negative
permainan sangat bagus dan baik untuk mengasah kemampuan anak dalam strategi dan taktik yang mau di mainkan dengan siapa harus siap,5,satisfaction,positive
semakin seru karena banyak proplayer dsini jadi bisa sambil belajar dari mereka grafik gamenya bagus dan keren semoga semakin di maksimalkan lagi,5,satisfaction,positive
ukuran game kecilin biar heanphone jadul bisa main,4,unknown,negative
game ini sangat cocok bagi anda semua untuk game online terbaru game online game flash player terbaru industri di indonesia,5,unknown,positive
nih game ngawur sekali waktu nyusun beli hero cuman detik itu pun harus fasthand saya dapat eru kalah karena waktu habis belum sempat naruh hero tolong di perbanyak waktunya untuk masang hero membeli,1,effectiveness,negative
kenapa mode gold rush dihapus saran dijadikan permanen saja gold rush nya,2,satisfaction,negative
game burik tengah malem saya download lagi setelah vakum ingin main mc ternyata sudah terpisah mau login akun mc yang terhubung ke mlbb hilang akun mc tidak bisa login ke akun yang dulu woy balikin akun saya yang dulu bangve,1,satisfaction,negative
saya tidak bisa ganti akun yang terkait dalam game,2,effectiveness,neutral
seru sih tapi mesti naik spekk handpone nya,5,satisfaction,positive
game nya bagus sih mantap seru,5,satisfaction,positive
lylia tidak mendapatkan gold dari sinergi eruditio lylia tidak mendapatkan gold setiap match sehingga tidak dapat menaikan level ini namanya diskriminasi dimana komander lain mendapatkan gold setiap babak dan gold dari sinergi eruditio namun lylia tidak mendapatkannya akibat skill tharz aktif,5,satisfaction,negative
tolong di nerf hero moskov,2,effectiveness,neutral
agak kecewa sih akun magic chess yang sudah lama tertaut di mobile legends malah berubah jadi akun baru lagi padahal sudah main dari dulu rasanya seperti semua progress hilang begitu saja beda sekali sama pengalaman transfer akun di dragon city meskipun saya pemain lama dari tahun sampai sekarang semua data masih utuh dan bisa dimainkan seperti dulu setia sekali sama pemain lamanya yang hilang bukan cuma akun tapi kenangan panjang yang dulu setia kujaga,2,satisfaction,negative
game nya sangat menyenangkan banyak bug musuh seperti bot gampang sekali usahain lawan nya yang keras keras,5,satisfaction,positive
game ini fase dimana kita sudah dewasa yang dimana kita tidak harus bekerja sama teamga membuat stres seperti ml,5,satisfaction,negative
saya main magic cess setelah update kena dark mulu anjir serasa aneh giliran beruntung sekali scroll dapat bintang langsung giliran susah susah sekali anjir sudah scroll bbrapa kali kagak dapat hero yang diinginkan,1,effectiveness,negative
mode practice cuma buat seleb pelit hero,1,effectiveness,negative
awal di kasih hero dawnbringersetelah di ambilhabis itu tidak menampak lagi hero nya entar tidak di ambilmuncul terus hero nya mau bongkar pasang sinergikalah damage sama lawan terus harus bagaimana,1,satisfaction,negative
sudah diperbaiki yang saya komplain jadi sekarang sudah lebih enak mainnya,5,satisfaction,positive
game nya bagus sekali sampai mau hapus rasanya,1,satisfaction,positive
montoon please return hero tarzlilya tapi how itu was before dont nerf itu,1,satisfaction,neutral
setiap mvp pertandingan selanjutnya tidak bakalan mvp lagi pasti di kasih susah mencari hero susah sudah begitu hero yang kita punya tidak ada damge sama sekali,1,effectiveness,negative
game nya bagus gampang dan kalau mau naik bintang susah sekali cari heronya monton kalau tidak dibaca pesan saya saya kasih bintang satu,1,satisfaction,positive
perbaiki dong banyak player yang pakai cheat game bagus jadi rusak,1,satisfaction,negative
skill comander terbatas tidak seperti dulu,4,effectiveness,negative
apalah dikit dikit lag menyebalkan sinyal bagus lag apalah,1,effectiveness,negative
gamenya seru tapi akan seru lagi kalok saat menang atau ata quest yang di mana hadiahnya adalah hero yang ada di mlbb yang setuju like sampai agar di lihat sama papa monton,4,satisfaction,positive
ya bagus untuk game ini mirip ml,5,satisfaction,positive
kalau bisa magic chess di adakan comander power seperti megic chess agar tahu power pada lawan juga dan lebih memudahkan untuk atur serangan dan racik sinergy pleace,3,satisfaction,positive
bagus game ini seru di mainkan jika anda sedang bosan,5,satisfaction,positive
mohon untuk para pendiri saya ingin kembali ke mc yang dulu karena yang dulu lebih seru dan menantang dari pada sekarang,5,satisfaction,positive
bagusan yang element dulu,1,satisfaction,positive
update an lebay membuat ribet game bug,2,satisfaction,negative
mending megic nya langsung dari pada game yang asli nya,5,satisfaction,neutral
overall gamenya bagus nomor komen,5,satisfaction,positive
makin kesini makin busuk matcmaking tidak adil dan hero sistem lose strwak pun berlaku di sini bngst,1,effectiveness,negative
lebih seru msgic chees dari pada mcggmaen mcgg masih banyak di atur sistem buat kemenangan nya,1,satisfaction,positive
game ini semakin hari semakin aneh membuat nerf orang yang bermain roll atas dan orang yang bermain roll bawah lebih diuntungkan setiap bertanding juga selalu ketemu sama commander miya wanwan dan layla membuat permainan terasa tak adil apalagi semenjak doomsworm ditambahkan masalah rolling hero selalu ampas lalu terkait masalah pengunduhan data game sering mengalami stuck download padahal penyimpanan saya masih banyak yang kosong semoga masalah ini bisa diperbaiki,1,satisfaction,negative
lucu sih game nya,4,unknown,positive
game bingung mau dikembangkan dengan cara apa sekarang di buff jam berikutnya di nerf developer labil,3,satisfaction,negative
seru beri akun daimon dong monton,5,satisfaction,positive
koneksi bagus saya sudah makai kuota wifi tapi menghubungkan terus saya coba buka aplikasi game lain lancar lancar saja ini malah tidak bisa bisa sudah sampai ganti koneksi berkali kali tidak bisa juga memang masalahnya di gamenya bukan di koneksi saya nya lain kali urus yang benar dong ngecewain sekali developer seperti begini,1,satisfaction,negative
ok magic chess sudah ok sekali deh,5,unknown,positive
kenapa saya mvppo motoonnnnnnnnn,1,unknown,positive
game nya seru sekali seperti lagi main catur,5,satisfaction,positive
enggak bisa di gunakan baru saja main ajing memang,1,unknown,negative
cemander sekarang tidak ada yang enak buat rank tolong balikin ke yang lama,2,effectiveness,negative
najis benar suka tidak ngotak mengasih heronya berkali tidak dikasih jadi sementara yang lain hero plus sinergy nya jadi ngerol abisan malah membuat bangkrut,1,effectiveness,negative
mantap kembali lagi ml gogo seperti dulu saya suka,5,satisfaction,positive
aamon gacor sekali min kalau bisa mirror nya jadi biar makin gacor,5,effectiveness,positive
woi daripada lu membuat game² lain bisa saja tuh mobile legend lebih populer karena lu biarin sistem² joki atau beli akundan juga kasih lah hukuman buat orang yang dapat kayu tuh cuma pajangan doangskin diperbagus kalau gameplay biadab ya percuma,1,satisfaction,negative
benerin server lu dulu baru pembaruanngeleg mulu saat main saat streaming aman saja,2,satisfaction,negative
lag parah main mlbb lancar jaya main nih game lag lag bagaimana mau menang rol dan mau beli hero saja tidak bisa bisa mau ngilangin stres malah tambah stresss,1,satisfaction,negative
ampas sengaja sekali ngebuat lawan dapat di kasih kartu bagus bagus lawan di kasih kristal sinergi gue di kasih ampas,1,satisfaction,negative
mulai enak lagi mainnya sudah kembali seperti yang dulu,5,satisfaction,positive
sangat kecewa sekali banyak yang pakai bug lag pada pertandingancoba urus masalah ini sangat menganggu player dan pertandingankasih hukuman terhadap player tersebut,1,satisfaction,negative
loading lama sekali kadang² tidak bisa masuk game padahal koneksi sama ponsel mendukung,1,effectiveness,negative
pliss lah adakan fitur praktice moonton pelit amat anjg,3,satisfaction,negative
semakin sukses moonton jangan membuat lag lag ya,5,effectiveness,negative
bring my mc old,1,unknown,negative
tolong tambah kan mode practice ya untuk game play saya suka apalagi di mode nostalgia sebagai pemain magic chase old saya senang dengan mode nostalgia jangan lupa tambahkan mode practice ya,5,satisfaction,positive
game tidak jelas ketika hero di butuhkan malah tidak di kasih,1,effectiveness,negative
agak kikir ya di refresh shop,4,satisfaction,negative
bos manfaatkan poin buat beli yang lain jangan hanya comander kebanyakan diamon game sangat bagus itemeven kurang asik,5,satisfaction,negative
sangat keren moonton kamu hebat dan saya menyukainya tapi skin nya tolong di tambah ok moonton,5,satisfaction,positive
seperti pepek settingan player mu,5,satisfaction,negative
suaranya kadang hilang koneksi tidak stabil,2,satisfaction,negative
saya suka tapi saya tidak main lagi,5,satisfaction,negative
tolong dong update biar tidak susah heronya sering stuck dan kalau mau menang itu beruntung hokian tolong sistemnya diperbaiki biar sportif semua dibagi sama ratakan susah setelah update cari heronya,1,effectiveness,negative
apa apa di anggap afk apakah moonton nya bermasalah,1,effectiveness,negative
dari segi gameplay cukup menarik bagi sypermainan ini sedikit mengasah otak dengan memainkan strategi menggabungkan sinergi untuk tim yang kuatpilihan comander juga banyak,5,satisfaction,positive
perbaruan game sangat tidak menarik dan membosankan,1,satisfaction,negative
habis diupdate aplikasinya malah hilang sinyal ponsel gue padahal buat mlbb aman saja game sampah bisa membuat sinyal ponsel hilang,1,satisfaction,negative
enak yang lama lebih adilkomeder sekarang tidak serucotoh wanwanmiyaliliakomedr ikut perang juga tidak serumaaf kasih bitang satu,1,satisfaction,negative
lebih bagus yang di mlbb dari pada yang ini penampilan hero nya sangat buruk dan tidak seperti dulu dan tambah aplikasi lagi membuat menambah penyimpanan memori,1,satisfaction,negative
ngalamin bug sinyal tidak terdeteksi koneksi di tes pubg lanjar jaya sama stuck loding pertandingan login ulang malah tidak terdeteksi sinyal nya aneh,1,effectiveness,negative
tolong hero gold di hapus saja,1,effectiveness,negative
kangen magic chees dulu moonton karena lebih menarik,3,satisfaction,positive
game bagus dikasih comeback,5,satisfaction,positive
minimal update comander menggunakan otak tidak asalan jonson di buff hero bintang berapa pun langsung hilang semua game tidak jelas lama,1,satisfaction,negative
woi montoon ini bagaimana ini kok lose streak terus perbaiki lagi lah montoon,1,satisfaction,negative
kagak jelas benar deh sinyal nya mcgg tolong dong perbaiki janco,1,effectiveness,negative
eru tolong di nerf ya jangan dikasih enak terus hero nya sih yang harus dinerf jangan nerf sinerginya gaguna,1,satisfaction,negative
game bisa main di situasi apa pun lagi perang pun main mc gogo solusi nya,5,effectiveness,positive
pokoknya mantap game ini melatih otak,5,satisfaction,positive
jika anda merasa keberuntungan selalu memihak kepada anda mainlah game kanjut ini,5,satisfaction,neutral
