content,score
"mantap,tapi kekuatan Hero 5 gold sama dengan Hero 1 gold",4
game busuk,1
online battle good,5
it's so keren,5
seru banget tapi sayangnya aku mau ada comander dan hero yang lain,4
mantep banget coy,5
bagus banget game nya,5
👍,5
permainannya yg lama ke lamaan bikin hilang modnya untuk bermain,1
algoritma masih sama dan tidak ada peningkatan,1
game ini sangat bagus untuk dijadikan game edukasi,5
"samapi saat ini ,, masih jadi game favorit sih ,,",5
bagus untuk game play nya markotop lah,5
"lama banget kalo update bosen Synergy itu mulu, terlalu kelamaan klo update",1
aku suka dengan game ini,5
sangat seeru,5
kalau ada hero yang mau b2 atau b3 kan udah dikunci tetep hilang,2
paling males pass spin Hero gada Mulu Hero buat setiap sinergi paling ampas,1
wuhu!,5
"Sedikit p2w, terutama dibagian slot sementara kalo beli mc pass. Trus entah ngebug apa gimana, kako ganti akun suka kerelog padahal season 1 gak pernah, device juga udah lumayan(redmi note 13pro5g) jadi bikin kesel. Trus matchmaking kadang gak seimbang, mungkin biar cepet ketemu musuh tapi cukuo merepotkan bagi yg masih pemula.",2
cmd karina tolong hilangin krna hama gda skill,1
good game,5
ga tau asik aja gitu,5
makin parah sinergi yang di mainkan heronya gak di keluarin refresh shop sampai 40 gold gak ada yg keluar,1
gemnya seru banget mana hampir sama ml yang asli,5
ngbug terus pas mau ganti akunnya udah uninstall balik jga tetep gtu payah,1
menghibur,5
"pls deh ini game strategi atau game hoki""an moonton? udah berapa kali kek gini, jarang dapat hero salin yg saya pengen utk naikin bintang apalagi hero 4/5 gold pdhl level commander saya udah 8/9, klo kek gitu trs yaudh psti kalah telak lah ama musuh yg hoki lancar jaya dpaat hero yg dia mau",1
permainan hanya pakai atau beli diamond baru bisa menang game laknat,1
banyak bruizer parah,1
Jelek amat.,1
Mantab,5
bagus banget permainan nya,5
cool,5
sudah bagus hanya jadi kurang bisa menikmati game karena terlalu cepat lebih suka ya dlu,5
"SUSAH NYA MENJADIKAN 10 SINERGI ERUDITIO DI MODE GOLD RUSH !!! SAYA SUDAH MENCOBA LEBIH DARI 30 KALI. MENGGUNAKAN COMMANDER JHONSON TAPI GA PERNAH DIKASIH DUA CRYSTAL ERUDITIO DARI GO GO CARD ATAU HADIAH SETELAH CREEP!! PADAHAL HANYA DI MODE ITU SAYA BISA SENANG2, TAPI KARENA TIDAK PERNAH MENDAPATKAN 2 CRYSTAL YANG SAMA SAYA JADI EMOSI. HAPUS SAJA SEKALIAN MODE GOLD RUSH GA GUNA ANJENK !!!",1
permainan kurang teratur dari segi hiro nya dari kualitas nya ga masuk di akal..,1
tolong untuk commander brown di revamp ya.. yang skill kedua blazing hammer soalnya yg skill sekarang kurang kuat dan kagak ada yg pakai commander ini.. itu aja tolong di dengarkan dan di revamp,5
enak,5
berat bener yg sekarang ni,3
game simple kaya komen ku,5
tidak adil terhadap player secara merata karena hanya beberapa player saja yg di berikan Privilege untuk akses practice mode,1
rasanya pengan aku uninstall masak hero 5 gold kalah sama 10 sinergi nggak adil banget kalah nomer lima pula padahal pakai fanco b3 game konsol,3
Grafiknya bagus,5
"di awal² mah seru, tapi sekarang gak bisa login kalo pake data seluler",1
selalu terupdate dan pastinya seru untuk selingan klo capek ngerank,5
"Kocak, tidak pernah dapat item yg dibutuhkan",1
masa gw epik dilawan sama lejen sama mitik gak imbang banget,1
Sangat bagus saya berharap kedepannya dapat bermain secara offline🙏🏼,5
"itu udah keren gamenya tapi itu hitungan gold gimana sih, gold gw 33 up level 16 gw up masa gold gw ngurang sampe 16 seharusnya kan 21",5
cucuk di mainkan kalau jaringan tidak stabil,5
good,5
asik asik bener bener chess,5
sg ngawe dulinan mbeldos,1
permainan yang menyenangkan,5
untuk gem nya udah lumayan lah ya tapi kayak nya ini gem menyerap banyak mb sehingga aku main pun sudah habis Kouta nya ini menurut ku klau kalian gmn,1
mantaap,5
sangat menghibur,5
game judi,1
dikarenakan tidak mendapatkan gogocard premium client,1
bagus tapi tolong jangan hapus sinergi Astro 😭😭😭,5
permainan ini sangat seru,5
game seru,5
gamenya enak lebih seru,5
bjir amat ini game,5
buat semua orang gak usah mikir maen ini game karena apa karena faktor keberuntungan yang di pake bukan skill kita jadi kalau kalian mau maen harus punya keberuntungan bagus yang gak bagus mah gak bakalan menang maen ni game,1
"game ga jelas dirugiin mulu gw main ini, bukannya seru malah bikin emosi",1
excellent,5
lumayan,4
"Tolong tambahkan fitur blokir player, dan pertemanan di game ini jangan di gabung dengan pertemanan di game mobile lagends.",2
lumayan bagus sistemnya skrg,4
gw gk pernah hoki di game ini,1
game nya butut,5
game gaguna anj,1
TOLONG HASIL VOTE YANG SESUAI JANGAN RANDOM perbaiki hasil vote woyyyy,3
gemnya ng jelas tolong itu demeknya dikuragi baru 2 menit main HP tingal 50 padahal yang lain masi hpnya 100 persen mending gua uninsatal bagi yang blm downlod jgan di download mengecewakan,1
menarik dan seru,5
game nya bagus,5
jadi ketagihan main MCGG,5
saran semakin tinggi babaknya sekamin tinggi juga waktu sebelum war,5
"Simpel aja. Ngandelin hoki. Klo hoki"" klo bau"" kebangetan. Sering bgt dimatch ke lawan yg powernya jauh mau nonmirror atau mirror. Gk ngurut seperti dulu. Tolong perbaiki",1
game ga ngotak,1
kadang dark sistem tp seru,4
good job,5
aku emang suka banget,5
moonton orang mau ganti device aja gak bisa email sama password dah bener eh malah pas beres deteksi cerdas kesalahan jaringan dah nunggu dua bulan masih aja sama ada bug tuh benerin dong,3
game tolol tidak jelas,1
tidak bisa meroling lawan yg benar,1
sangat bagus,5
kereen,5
"terus tingkatkan pencapaian kalian, good Job",5
mantep tapi rued,5
kenapa kalau kita main ini gm Magic Chess Gogo itu harus update dan tambah data ?🤔,4
mantab,5
asik menyenangkan ada diamond sama acak dan bisa nyobain atau liat skin di magic chess go go,5
"game ini asikk bngett saya main dari 2021 sampe sekarang bisa ngisi kekabutan kita se hari"" kalo sendiri atau sama temen bisa juga mabar ber 5",5
"makin rusak ini game nya, musuh dpt hero semua b3 gua dpt 1 pun gk padahal dilihat di store hero msih full, sengaja banget ni game",1
keren banget,5
Bagus,5
keren anjay,5
kasih pilihan Hero diawal biar enak malah ngebanyakin comander Hero nya acak gak seru asli susah nya kebangetan,1
seru,5
ribet banget mau ganti akun lama gabisa,1
saya suka main magic chess go go menurut saya game' ini cukup santai bisa sambil ngopi,5
mantuaf,5
"Game yang seru dan bisa mengisi waktu luang, apalagi kalo main bareng temen liat temen lagi emosi bawaannya mau ketawa. Ini game kaya game komedi",5
"tetap Rune Nostalgia paling mantap, kalau misalkan kemarin tidak di tambahin Rune Nostalgia auto vakum. karena yang MCGG menurut saya gak masuk akal dengan sinergi dan hero nya, dengan sedikit waktu pertandingan bisa langsung end. Saya sendiri selaku player MC dari pertama keluar di MLBB merasa MCGG ini seperti bukan game strategi. satu hal lagi untuk Pak Moonton yang terhormat, apakah bisa di perbaharui commander nya berubah skill seperti di MLBB dulu pas masuk Rune Nostalgia ? Terimakasih",3
game haram jangan di download yg bikinya haram,1
jangan main game ini guys sakit ginjal tar kalian monton tol,1
seru tapi ko legen nya sampe 10 nda kaya biyasanya cuma sampe 5,5
mantab 😍,5
"semakin di mainkan semakin di turunkan hokinya. kalah 3x baru bagus lagi, aturan game tidak sesuai skil pemain suka2 gamenya yg menang siapa!",1
game gak masuk akal dan gak adil,1
seru gaes,3
"baru naik mytich kocokan heronya gak jelas,gold nya susah bnget alias miskin hadeuh heran sama ini game berpihak bnget uninstall lah .Thx dh ngsih naik mytich",1
game nya bagus tapi ada sedikit bug,4
bikin gokil lagi ya,5
game terbaik,5
system pasti win 1x kalah berkali kali system2 tolong dong magic chess ga seru,1
"kaga jelas udah kesambung ke akun nonton masih aja akun nya itu"" aja",1
knapa gak dgabung kayak dulu aja sih 🤦‍♂️,1
permainannya sangat bagus bagi yang ngerti...!!,5
"Terlalu banyak Hero gak guna termasuk yhuzon Hero gold 5 tapi gak jelas arahnya mau kemana, dan banyak kejanggalan di slot 10 masa Hero gold 5 susah muncul. GAME RUSAK",1
dancok,5
geme tolol.. go go card g penting kangen mc persi mobile legen,1
okelah bosa ber nostalgia,5
"Dear developer mcgg, Tolong untuk manajemen konten bagian download data bisa diatur tanpa download semua data di mcgg. Terima kasih 🙏",3
game ini bagus,5
gem ngebug ambil imo di kasih nana emang gangotakk gagal win,1
game nya seru sampe mau nampol role nya susah game bagi org yg sabar dan kuat,5
"gamenya udah bagus sih, tapi kok di gw ga ada mode practice nya yaa,apa hp gw yang salah atau emang ga ada practice, soalnya orang banyak main mode practice tapi di gw ga ada, jadi tolong di perbaiki ya",4
game rusak,1
tolong charnya di perbanyak lagi,5
bagus dan keren,5
sangat mudah dimainkan dan sangat bagus👍,5
nice games,5
monton tolong jangan download lagii kalo abiss pindahh server haruss download lagii ngabisin kuotaa Ama waktuu tolongg perbaiki,5
seru bgt nihh game,4
kikir pas lagi nge roll ampas,1
bagus kalau hoki,5
pls donk comandernya d bkin kya dlu ling skil 1 op,2
game yang sangat bagus untuk gabut tapi sayang nggk bisa mode offline pliss kasih fitur mode offline kayak mobile legend,5
"game tidak adil , musuh dapet b3, saya dapet b2 aja engga, fix sabotase",1
Mohon ditiadakan menu buat party karena ada player yg buat party isinya akun dia semua buat tumbal biar dia bisa menang.,5
bagus sih gem y,5
game tolol,1
untuk ganti akun terlalu ribet dan paling males kalo tutorial ngga ada tombol skip,1
"bawakdewak, tau ah bintang 5 aja",5
game nya bagus gameplay nya gak ribet dan harga commander nya murah murah,5
Permainan tanpa beban dan asik aja,5
sangat menyenangkan bermain Megi ces go go🥰🥰🥰,5
top,5
geme ini sangat seruu,5
Good Game,5
gameplay nya seru dan bikin nagih,5
tidak adil memberi ke player kristal,1
bahaya game ini .pembodohan blokir aja nih Kominfo tak guna buang buang waktu orang aja,1
saya suka,5
buang buang waktu,1
sangat baguss dan seruu🥰🥰,5
tolong lah Hero nya kok gak lengkap gak seru,3
"Ini kenapa lagi dah, mau login aja gak bisa bisa, pdhal tadi sempet main bisa trs sekarang knp gak bisa login? Jaringan aman loh tolong dong min knp sih?!",2
its oke,1
game seru bngt,5
P Magic,5
di akun mcgg saya tidak ada maps party yang room Chet ituu cara memunculkannya gimana,5
seru dan agak sedikit ngeleg aja makasih 🙏🙏🙏,5
bagus dan seru,5
mantap....,5
game buruk gak kasih aku kok yang jelek jelek Hu game burik,1
nice game,5
kasih Aurora skin mythic bg🗿,5
GAME GA JELAS BALIKIN MC LAMA ROLL LAN ISI NYA GAJE SEMUA,1
suka karna game online santai,5
"game nya oferal bagus ga jauh beda dari MC biasa, tapi! itu mode yang baru kenapa kayak ga terlalu berguna! masak cuman sekali kirim aja, dan juga bikin kek bisa ngasih item juga atau barter item. bikin biar bisa ngasih satu Hero di satu fase sama item item juga biar makin asik.",3
"untuk commandernya masih OP waktu di mcbb si, lebih seru ada skill 1 2 3 nya, dan agak kecewa kami player vale skill 3 sama 2 sudah dihilangkan",5
menghibur dan belajar banyak Hero dan aitem,5
game keren,5
"Keren,enak combonya👍",5
aku suka,5
makin aneh gak jelas,1
fun game,5
"game gajelas, awal doang manisss kek janji mantan",1
"Role nya kacau,,, gold 30 an cari Hero harga 2 gold gak keluar2 padahal stok masih banyak,,,😂 kocak abis Natan bintang tiga gak bisa2 Hero di shop masih 5 koin 50 lebih gak muncul satu pun level dah maksimal padahal,,, parah",1
the best game 2025,5
game mantap,5
muantap,5
game bloon hero gak di kasih...parah sih rasa keadilan main gak fair...parah parah hero gak keluar keluar...,1
keren dan enjoy mainnya,5
seru tapi mohon untuk di permudah menaikan bintang commander,4
seru banget,5
sangat menyenangkan buat pelayer mlbb,5
mantap pokok nya mahh debesttt,5
game nya seru,5
Hero nya diumpetin terus. sampe habis gold kagak muncul... bangke emang ini game.... Buruk sekali dalam memunculkan Hero yang sama....,1
"Sepinter apapun mainnya, kalo tokonya ampas ya gabakal menang mudah dan satu match bakal main lama banget. Ngabisin terlalu banyak waktu doang mainin ini game. Gw yakin yg masih fun mainin ini game cuma conten creator yg memang dapet duit dari konten, sisanya paling bocah yg hidupnya belum ngemban tanggung jawab ama pengangguran yg memang gapunya tanggung jawab",1
lumayan buat ngisi waktu luang,5
sering lag servernya... jaringan wifi 100mbps lancar jaya tapi gamenya lag.. diperbaiki severnya refresh di shop tidak jelas.. Hero tidak ada yang pake tidak pernah muncul di shop. stok masih banyak tapi sudah didapat... dark sistem.. game tolol,1
boleh lh,5
ga seru,1
sumpah kesel saya dari awal main mcgg ini saya kesel banget yang namanya comander wanwan +kombo yang keluar petir kombo sampah ngapain di adain. damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo kek gitu tolong lah hapus kombo yang sampah itu.ganggu banget tuh petirnya risi saya setiap ketemu kombo sampah itu.udah mah wanwan ngeluarin skil+petir rusak semua.,1
"aku pemain lama d magic chess mobile legend,. magic chess yg skarang ga enak, banyak yg d rubah?",5
"synerginya tidak seimbang dari segi damage, dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya, jadi kurang enak waktu memainkannya . coba perbaiki dulu biar seimbang",1
untuk severnya pilih pilih,1
game kurang adil susah dapet Hero padahal gak ada yang pake,1
"saya kangen sama magic ches yg dulu,, kalo pake comander bass skil 3 ,dapet gatot pake elementalis ,",1
games oke,5
gacor kangg,5
buruk mau login malah tetep suruh buat akun padahal udah ada,1
mantep,5
Mantap intinya jangan pilikasih di game ok ok!!!,5
perbaiki lagi sistem nya ga jelas awal² masih 8 peserta ketemu lawan nya itu lagi itu lagi ga muter ga kaya MC d ml,1
"seru,bikin penasaran",5
gokil,5
semua game moonton bikin kesal selalu eror saat momen krusial padahal jaringan bagus bukan happy malah stres yang ada 😡,1
game nya oon,1
dari sistem terus asyu,1
baik,5
aga bingung dengan sinerginya,3
"saran aja sih mending di hapus gams nya, dikit"" di nerf OP dikit di nerf GK komender GK Sinerji sama aja di nerf semua",1
SIP LAH POKOK NYA,5
Terimakasih,5
game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak,1
nice,5
Ok,5
jos gandos,5
"lumayan lah,untuk sementara",5
"ampas sengaja bet ngebuat lawan dapat di kasih kartu bagus bagus, lawan di kasih 3 kristal sinergi gue di kasih ampas",1
game tolol akun gw ilang yet,1
"gamenya seru tapi akan seru lagi kalok saat menang/ atau ata quest yg di mana hadiahnya adalah Hero yg ada di MLbb yg setuju like sampai 1.000,! agar di liat sama papa MONTON!",4
oke,1
😍,5
orangnya pada egois,1
sangat puas sekali,5
Mantap,5
"game bagus , cuma role bawah di hilangkan kan aja",5
gem menang kalah di atur deflover nya makin hancur semenjak apk mcgg rilis kagak bener LG main main nya,1
Izinkan penonton pertandingan menjual hero yang di tonton!!!!!!!!!!¡¡¡¡¡¡¡¡¡¡¡!!!!!!!,1
kenapa saya tidak dapat menginstal game ini,5
gua heran sama sinergi summoner. popoludah bintang 3 aja yang keluar popol trus padahal sun sama vexana blom ada. kenapa montoot kenapaaaaaaa kadang gua kesel sama popol trus trusan babi benerin lah montod,2
game bgus& mnghibur,5
nicee,5
"rugi kalau gak donlod, game' nya bagus",5
Permainan yang sangat buruk. emakin banyak sinergi semakin sulit temukan gero yang sama. Hero yang di pakai malah susah di dapat. kalo ada bintang minus aku kasih penilaian paling buruk. karna bikin stres aja ga di bolehin naik level muntun butut,1
"kenapa gua sedang dalam permainan sering mental keluarnya,(keluar sendiri dalam permainan) tolong penjelasanya",1
permainan membosankan kalah nya 10 x menangnya 1 x gila apak kalian,1
"aduhh yang jelas dong role role an nya, udah gaada yang nabrak masa gak pernah muncul heronya di shop, udah slot tinggi jugab",1
mantepppp,5
"ngurus server yg bener, yakali menghubungkan ulang terus, mana pas lagi late game pula",1
"Semua bagus sangat bagus untuk banyak commander, game play, grafik, dan lainnya sangat bagus",5
Semakin kesini semakin berat ini game,4
masih ada yang main dengan chat curang,1
sudah bagus tungkatkan saja,5
pecah hubungan dengan Mobel lagend mana lelet dan KB/MB/GB besar,1
bagus sekali,5
aku cinta mcgg,5
quit addictive dan menghibur,5
bagus² tingkat kan lagi,5
"cape gw main game ini ajg, ga bener sistemnya, pilih kasih lagi",5
"aku punya saran, tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero, kemudian ada pengambilan baru kristal, seperti di magic ches yang ada di ml dulu, soal nya yg sekarang gk menarik sama sekali, juga sinergi elementalis di adakan lagi",1
👍👍👍👍,5
game apalah damage comander nyampe 28 30 kurangin lah main jadi gk lama langsung kalah damage comander yg di terima nya besar mau roll atas gimna mending gw hapus game nya,1
sya cukup terhibur,4
"aamon nerf woy,gak pernah lepas ni😹",5
i love this game,5
Game yang bagus,5
terlalu susah,5
"ga jelas ini game nya, tergantung hoki,kadang ga di kasih hoki,Gogo card suka ga jelas, blessing ga jelas,di kasih menang dulu,baru nanti di balikin lagi poin nya ke awal,kaya bukan ngpush tapi di jadiin boneka moonton",1
"Game setingan taikk, menang 1 X selanjut nya kalah terus ktmu lawan yg ga ngotak, dapet bintang 2 aja susah di awal, giliran dapet bintang 2 hero lawan udah bintang 3 ga imbang, apa lagi sistem miror anjayy udah tau ktmu miror nya ajah udah kalah di ketemuin sma yg asli, buat gogo card juga ga ngotak keliatan kalo mau di kalahin serba jelek bedan sma lawan serba dapet bagus",1
mantap sekali,5
"Sempurna,Perfect.",5
banyak bug,1
gas bos qu,5
game yg seru,5
bagusnya lagi klo ada mode yang bisa pake 2 skil comander mantap itu pasti,5
"permainannya sungguh menarik, dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus",5
sangatttttt bagussss,5
jika aku mendapatkan biji astro aku akan topup digem ini sebanyak-banyaknya,5
Mantap !!!,5
jegoss tenan ne iki,5
"sebenarnya bagus bagus saja game ny,hanya saja masalah saat mengunduh data,tidak bisa di jeda,kalo tujuan nya memang buat yang beli skin atau chess masuk akal,tapi tidak semua orang seperti itu,tolong ya.",4
okeee,5
baguss banget game nya pokoknya joss,5
game nya bagus cocok buat santai,5
asik dan lucu,5
malesnya update pake segala download data,2
"saya suka sekalii,game nya seru bangett!!",5
Game kontooooI,1
game bawa pusing susah dapet Hero yg sama dengan sinergi...dijual semua Hero tetep gak keluar juga Hero nya ..,1
"gak jelas,, enakan seperti dulu ini harus tutor,, mana lama lagi gak bisa di skip",1
makin kesini makin gak jelas ggcdnya jadi males buat main lagi,1
game ini sangat jelek,5
game sakit gilee nggak di kasi menang nggak setara,1
"seruh si game nya saya, masa karakter Miya atau Wanwan ikut main jga ga seruh, jadi saya kasi bintang 3",3
"tolong beri saya keuntungan dalam mendapatkan Hero maupun gogocard, Nicke name Dio jambu 👍",5
mantap 👍 rasanya kek dlu main tapi di S1 dan S2 serasa commander dlu udah gak bisa di pake di Season mana pun karena gak ada perubahan atau nerf,4
seruu simpel,5
game apaan ini maen gak pernah di kasih menang selalu kalah terus menerus niat mau happy2 malah bikin darah tinggi,1
game kon.......t....oooll,1
agak samaratakan dulu kehokian pemain,3
kayak nya bagus,5
JANGAN DOWNLOAD GAME DARI MOONTON.......,1
game biar GK gabut,5
obat gabut,5
ikut,5
hero yang saya mau gak pernah dapat jadi kalah terus bukanya saya gak tau main ya,1
Funny game,5
game anjj😡,1
mantul,5
GAME CACAD!!!,1
tidak bisa saya mainkan di menu terus saya,1
ok siap tempur,5
👍👍😍,5
kasih hero yg betol tot,1
TOLONG GANTI SINERGI BARU MENJADI YANG LAMA !!!,1
mengecewakan,1
game gampang,5
sistem nya agak lain pemain ada 8 kadang kalau dah di dalam game duel nya sama² itu aja padahal pemain nya ada 8,3
lumayan bagus,5
game nya sangat mantappp,5
go go,5
"Mantab, buat menbunuh waktu",5
game hama,1
wokey..asik,5
"yang bener aja, kemungkinan buat keluar hero harga 4 30% tapi yang keluar banyaknya harga 2, gajelas. di keterangan hero yang tersisa aja masih 13 lagi tapi gaada keluar sama sekali aneh banget. yang keluar malah hero hero yang bukan sinerginya gua dah rol dari gold 50 sampe abis kacau.",1
"lebih seru msgic chees dari pada mcgg,maen mcgg masih banyak di atur sistem buat kemenangan nya",1
rame bisa di mainkan kapan saja,5
jjjjj gak bagus,1
"game apa ini jelek semakin sering di mainkan semakin turun bintang semakin susah dapat commander game apa ini membosankan ,1 bulan di legend 1 naik turun naik turun bintang gk naik naik ke mytic ,setiap main dapat no.1/2 main berikut nya langsung turun no.8 lawan terasa berat dan kuat padahal hero nya lemah aneh,game aneh,setiap hari main bukan nya makin naik bintang malah makin turun ,hapus aja game ini jelek....",1
AMPE GLORI KEREN COK BENER BENER KAYA RANK!,5
ini game yang saya sukai game ciptaan montoon ini emang bes,5
mantabz....,5
"sampah, sering terjadinya eror",1
stupid roll system,1
Game yang agak bergantung Hoki. gamenya Lancar Otak Langsung Oblak Terpana sama gameplaynya tiap round.,4
"game gaje, blessing nya gamau ganti taii game gaje",1
good joob,5
mantap lah pokoknya,5
game busuk ngelag padahal aku udah nyoba lumayan seru hp aku Oppo aman aja buat main yang lain kalo nggak karena gamenya apa lagi,1
dark sistemnya di kurangin.,5
bagus banget njirr sumpahh bagus bagus,5
Tolong tambahin lagi mode nostalgia yaitu CHESS TD. Game yg asik dan santai untuk dimainkan,4
ngk gacor,5
SERU,5
sangat jelek sinyalnya buruk susah dapat hero bagus,1
MOHON DONG MONTOON PENGATURAN FIGHT PER COMMANDER NYA DI BENERIN . masa gw lawan yg top² Mulu. yg keroco² kgak pernah dilawanin,2
nice gamee,5
Mantap ... Pengganti Chees Rush .. Bug Nya Jg Bagus Sama Dngn Mobile Legend .. Semua Hero Sangat Sama ... Terus Pertahankan Magic Chees GO Go .. Welcome ...,5
kesal,1
game ini sangat seru,5
sistem miror hapus aja soal nya teman saya kalahan,3
sangat bagus sekali game nya kak 🙏,5
game pay to win yg isinya dark system!,1
terus kreasi lebih keren,5
"game nya bagus, tapi tingkatin donk rate buat dapet item atau hero yg diinginkan, masuk ke legend mau pake kombo atau comander apapun ttp tergantung keberuntungan, jarang banget pen dapet apa yg diinginkan jadi gapernah ngerasain juara 1 lagi stiap main🙃",3
anjayyyy,4
game yang sangat seru,5
bagusss,5
tolong kasih wanwan terbang sama Moskov,5
wow,5
sangat buruk,1
"matching ga seimbang,ngejar glory aja susah ga akurat pool shop nya,kalo modal hoki silahkan coba game gajelas ini",1
"seru buat Mabar padahal main 4 orang kumpul eh pas naik glory malah gak bisa main 4 lagi gak seru banget aturan itu ganti lah, masa gak bisa main 4 orng lagi di glory KLO sendiri bosen banget main game gini",2
lumayan adu mekanik,5
sangat suka,5
"gak mobanya, gak chessnya damagenya gak jelas. imba, satu hero bisa lawan banyak modal equipment sm skill commander. aneh! klo kek gitu gak usah dijudulin CHESS!!",1
gem babi capek-capek gaca malah dapat yang harga satu koin terus padahal level uda 9,2
anjay mabar,5
game yg sangat seru banget😲😲😲,5
GG ueee,5
seperti itulah,4
bagus bisa main sambil santai,5
over all lumayan. tapi kalau bisa perbaiki sistem banned. kalau bisa saya sarankan banned sesuai vote bukan suka-suka moonton.,3
sangat puas dalam game..pokoknya enaklah terbaik...,5
"fitur idiot, pertama item jika terlalu banyak yang belum dipasang dan ingin scroll ke bawah(mencari mirror) tidak bisa",1
"nda jelas,, aga lain memang,, sudah menang awas setelah main berikutnya di kasih kalah lagi,, nda maau nasik imo karnah di persusah,, gua dapat lawan level 7 malah spin nga jelas dapat hero legend sampe bintang 3 ,,, kita boro-boro mau spin sampe habis gold naik level bintang 2 aja susah ,, padahal heronya banyak nda ada yang make,, game lucu aja nga masuk akal.",1
"game ga jelas ga pernah di kasih hoki, untuk teman-teman tolong jangan download ini game, gamenya gj",1
ok bgt,5
bagus gamenya,5
"Game Terbaik di Indonesia, Saya Suka sekali main gi Game ini",5
anehh,1
bagus banget main nya,5
game tidak recommend,1
gacha hero kek tai,1
Nice Game,5
"lag banget, apalagi pas late game pada afk musuhnya. kurang ringan kebanyakan efek ga guna!",1
memang seru nih game,5
Game ini cocok untuk waktu santai ditemani segelas kopi ☕️,5
Game jelek disarankan untuk tidak download in,1
tolong heronya jngn yg aneh2 dapatnya,5
