clean_for_labeling,sentiment
tolong deh ini game strategi atau game hokian moonton sudah berapa kali seperti begini jarang dapat hero salin yang saya mau untuk naikin bintang apalagi hero gold padahal level commander saya sudah kalau seperti begitu terus ya sudah pasti kalah telak lah sama musuh yang beruntung lancar jaya dpaat hero yang dia mau,negative
permainan hanya pakai atau beli diamond baru bisa menang game laknat,negative
banyak bruizer parah,negative
jelek amat,neutral
bagus sekali permainan nya,negative
cool,positive
sudah bagus hanya jadi kurang bisa menikmati game karena terlalu cepat lebih suka ya dulu,negative
susah nya menjadikan sinergi eruditio di mode gold rush saya sudah mencoba lebih dari kali menggunakan commander jhonson tapi tidak pernah dikasih dua crystal eruditio dari go go card atau hadiah setelah creep padahal hanya di mode itu saya bisa senang tapi karena tidak pernah mendapatkan crystal yang sama saya jadi emosi hapus saja sekalian mode gold rush tidak guna anjenk,negative
permainan kurang teratur dari segi hiro nya dari kualitas nya tidak masuk di akal,negative
tolong untuk commander brown di revamp ya yang skill kedua blazing hammer soalnya yang skill sekarang kurang kuat dan kagak ada yang pakai commander ini itu saja tolong di dengarkan dan di revamp,negative
enak,negative
berat benar yang sekarang nih,negative
game simple seperti komen ku,positive
tidak adil terhadap player secara merata karena hanya beberapa player saja yang di berikan privilege untuk akses practice mode,negative
rasanya mau saya uninstall masak hero gold kalah sama sinergi enggak adil sekali kalah nomer lima pula padahal pakai fanco bintang game konsol,negative
grafiknya bagus,negative
di awal² mah seru tapi sekarang tidak bisa login kalau menggunakan data seluler,negative
selalu terupdate dan pastinya seru untuk selingan kalau capek ngerank,negative
kocak tidak pernah dapat item yang dibutuhkan,negative
masa saya epik dilawan sama lejen sama mitik tidak imbang sekali,negative
sangat bagus saya berharap kedepannya dapat bermain secara offline,negative
itu sudah keren gamenya tapi itu hitungan gold bagaimana sih gold saya up level saya up masa gold saya ngurang sampai seharusnya kan,negative
cucuk di mainkan kalau koneksi tidak stabil,negative
asik asik benar benar chess,neutral
sg ngawe dulinan mbeldos,neutral
permainan yang menyenangkan,negative
untuk game nya sudah lumayan lah ya tapi seperti nya ini game menyerap banyak mbak sehingga saya main pun sudah habis kouta nya ini menurut ku kalau kalian bagaimana,negative
mantaap,neutral
game judi,positive
dikarenakan tidak mendapatkan gogocard premium client,neutral
bagus tapi tolong jangan hapus sinergi astro,negative
gamenya enak lebih seru,negative
bjir amat ini game,positive
buat semua orang tidak usah mikir main ini game karena apa karena faktor keberuntungan yang di menggunakan bukan skill kita jadi kalau kalian mau main harus punya keberuntungan bagus yang tidak bagus mah tidak bakalan menang main nih game,negative
game tidak jelas dirugiin mulu saya main ini bukannya seru malah membuat emosi,negative
excellent,neutral
lumayan,negative
tolong tambahkan fitur blokir player dan pertemanan di game ini jangan di gabung dengan pertemanan di game mobile lagends,negative
lumayan bagus sistemnya sekarang,negative
saya tidak pernah beruntung di game ini,neutral
game nya butut,neutral
game gaguna anjing,neutral
tolong hasil vote yang sesuai jangan random perbaiki hasil vote woyyyy,positive
gemnya ng jelas tolong itu demeknya dikuragi baru menit main ponsel tinggal padahal yang lain masih hpnya persen mending saya uninsatal bagi yang belum downlod jangan di download mengecewakan,negative
menarik dan seru,negative
jadi ketagihan main mcgg,negative
saran semakin tinggi babaknya sekamin tinggi juga waktu sebelum war,negative
simpel saja ngandelin beruntung kalau beruntung kalau bau kebangetan sering sekali dimatch ke lawan yang powernya jauh mau nonmirror atau mirror tidak ngurut seperti dulu tolong perbaiki,negative
game tidak ngotak,neutral
kadang dark sistem tapi seru,negative
good job,positive
moonton orang mau ganti device saja tidak bisa email sama password deh benar eh malah saat beres deteksi cerdas kesalahan koneksi deh nunggu dua bulan masih saja sama ada bug tuh benerin dong,negative
game tolol tidak jelas,negative
tidak bisa meroling lawan yang benar,negative
terus tingkatkan pencapaian kalian good job,positive
mantap tapi rued,positive
kenapa kalau kita main ini gm magic chess gogo itu harus update dan tambah data,negative
asik menyenangkan ada diamond sama acak dan bisa mencoba atau lihat skin di magic chess go go,positive
game ini asikk sekali saya main dari sampai sekarang bisa ngisi kekabutan kita se hari kalau sendiri atau sama teman bisa juga mabar ber,negative
makin rusak ini game nya musuh dapat hero semua bintang saya dapat pun tidak padahal dilihat di store hero masih full sengaja sekali nih game,negative
keren anjay,neutral
kasih pilihan hero diawal biar enak malah ngebanyakin comander hero nya acak tidak seru asli susah nya kebangetan,negative
ribet sekali mau ganti akun lama enggak bisa,negative
saya suka main magic chess go go menurut saya game ini cukup santai bisa sambil ngopi,negative
game yang seru dan bisa mengisi waktu luang apalagi kalau main bareng teman lihat teman lagi emosi bawaannya mau ketawa ini game seperti game komedi,negative
tetap rune nostalgia paling mantap kalau misalkan kemarin tidak di tambahkan rune nostalgia auto vakum karena yang mcgg menurut saya tidak masuk akal dengan sinergi dan hero nya dengan sedikit waktu pertandingan bisa langsung end saya sendiri selaku player mc dari pertama keluar di mlbb merasa mcgg ini seperti bukan game strategi satu hal lagi untuk pak moonton yang terhormat apakah bisa di perbaharui commander nya berubah skill seperti di mlbb dulu saat masuk rune nostalgia terimakasih,negative
game haram jangan di download yang bikinya haram,negative
jangan main game ini guys sakit ginjal entar kalian monton tol,negative
seru tapi kok legend nya sampai tidak seperti biyasanya cuma sampai,negative
semakin di mainkan semakin di turunkan hokinya kalah kali baru bagus lagi aturan game tidak sesuai skil pemain suka gamenya yang menang siapa,negative
game tidak masuk akal dan tidak adil,negative
seru gaes,negative
baru naik mytich kocokan heronya tidak jelasgold nya susah sekali alias miskin hadeuh heran sama ini game berpihak sekali uninstall lah thx deh ngsih naik mytich,negative
game nya bagus tapi ada sedikit bug,negative
membuat gila lagi ya,neutral
sistem pasti win kali kalah berkali kali sistem tolong dong magic chess tidak seru,negative
kagak jelas sudah kesambung ke akun menonton masih saja akun nya itu saja,negative
knapa tidak dgabung seperti dulu saja sih,negative
permainannya sangat bagus bagi yang mengerti,negative
terlalu banyak hero tidak guna termasuk yhuzon hero gold tapi tidak jelas arahnya mau kemana dan banyak kejanggalan di slot masa hero gold susah muncul game rusak,negative
dancok,neutral
game tolol go go card enggak penting kangen mc persi mobile legend,negative
ok bosa ber nostalgia,positive
dear developer mcgg tolong untuk manajemen konten bagian download data bisa diatur tanpa download semua data di mcgg terima kasih,negative
game bug ambil imo di kasih nana memang gangotakk gagal win,negative
game nya seru sampai mau nampol role nya susah game bagi orang yang sabar dan kuat,negative
gamenya sudah bagus sih tapi kok di saya tidak ada mode practice nya yaaapa ponsel saya yang salah atau memang tidak ada practice soalnya orang banyak main mode practice tapi di saya tidak ada jadi tolong di perbaiki ya,negative
game rusak,neutral
tolong charnya di perbanyak lagi,negative
bagus dan keren,neutral
sangat mudah dimainkan dan sangat bagus,negative
nice games,positive
monton tolong jangan download lagi kalau abiss pindahh server haruss download lagi ngabisin kuotaa sama waktuu tolongg perbaiki,negative
seru sekali nih game,negative
kikir saat lagi nge roll ampas,negative
bagus kalau beruntung,negative
tolong dong comandernya di membuat seperti dulu ling skil op,negative
game yang sangat bagus untuk bosan tapi sayang enggak bisa mode offline pliss kasih fitur mode offline seperti mobile legend,negative
game tidak adil musuh dapat bintang saya dapat bintang saja enggak fix sabotase,negative
mohon ditiadakan menu buat party karena ada player yang buat party isinya akun dia semua buat tumbal biar dia bisa menang,negative
game tolol,neutral
untuk ganti akun terlalu ribet dan paling malas kalau tutorial enggak ada tombol skip,negative
bawakdewak tahu ah bintang saja,negative
game nya bagus gameplay nya tidak ribet dan harga commander nya murah murah,negative
permainan tanpa beban dan asik saja,negative
sangat menyenangkan bermain megi ces go go,negative
top,positive
gameplay nya seru dan membuat nagih,neutral
tidak adil memberi ke player kristal,negative
bahaya game ini pembodohan blokir saja nih kominfo tak guna buang buang waktu orang saja,negative
buang buang waktu,negative
sangat bagus dan seru,negative
tolong lah hero nya kok tidak lengkap tidak seru,negative
ini kenapa lagi deh mau login saja tidak bisa bisa padahal tadi sempat main bisa terus sekarang kenapa tidak bisa login koneksi aman loh tolong dong min kenapa sih,negative
its ok,positive
p magic,neutral
di akun mcgg saya tidak ada maps party yang room chet itu cara memunculkannya bagaimana,negative
seru dan agak sedikit lag saja terima kasih,negative
game buruk tidak kasih saya kok yang jelek jelek hu game burik,negative
nice game,positive
kasih aurora skin mythic bang,negative
game tidak jelas balikin mc lama roll lan isi nya enggak jelas semua,negative
suka karena game online santai,neutral
game nya oferal bagus tidak jauh beda dari mc biasa tapi itu mode yang baru kenapa seperti tidak terlalu berguna masak cuman sekali kirim saja dan juga membuat seperti bisa mengasih item juga atau barter item membuat biar bisa mengasih satu hero di satu fase sama item item juga biar makin asik,negative
untuk commandernya masih op waktu di mcbb sih lebih seru ada skill nya dan agak kecewa kami player vale skill sama sudah dihilangkan,negative
menghibur dan belajar banyak hero dan aitem,positive
kerenenak combonya,neutral
makin aneh tidak jelas,negative
fun game,positive
game enggak jelas awal doang manis seperti janji mantan,negative
role nya kacau gold an cari hero harga gold tidak keluar padahal stok masih banyak kocak habis natan bintang tiga tidak bisa hero di shop masih koin lebih tidak muncul satu pun level deh maksimal padahal parah,negative
the best game,positive
game bloon hero tidak di kasihparah sih rasa keadilan main tidak fairparah parah hero tidak keluar keluar,negative
keren dan enjoy mainnya,positive
seru tapi mohon untuk di permudah menaikan bintang commander,negative
sangat menyenangkan buat pelayer mlbb,negative
mantap pokok nya mahh debesttt,negative
hero nya diumpetin terus sampai habis gold kagak muncul bangkai memang ini game buruk sekali dalam memunculkan hero yang sama,negative
sepinter apapun mainnya kalau tokonya ampas ya enggak bakal menang mudah dan satu match bakal main lama sekali ngabisin terlalu banyak waktu doang mainin ini game saya yakin yang masih fun mainin ini game cuma conten creator yang memang dapat duit dari konten sisanya paling bocah yang hidupnya belum ngemban tanggung jawab sama pengangguran yang memang enggak punya tanggung jawab,negative
lumayan buat ngisi waktu luang,negative
sering lag servernya koneksi wifi mbps lancar jaya tapi gamenya lag diperbaiki severnya refresh di shop tidak jelas hero tidak ada yang menggunakan tidak pernah muncul di shop stok masih banyak tapi sudah didapat dark sistem game tolol,negative
tidak seru,negative
sumpah kesel saya dari awal main mcgg ini saya kesel sekali yang namanya comander wanwan kombo yang keluar petir kombo sampah mengapa di mengadakan damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo seperti begitu tolong lah hapus kombo yang sampah ituganggu sekali tuh petirnya risi saya setiap ketemu kombo sampah ituudah mah wanwan mengeluarkan skilpetir rusak semua,negative
saya pemain lama di magic chess mobile legend magic chess yang sekarang tidak enak banyak yang di rubah,negative
synerginya tidak seimbang dari segi damage dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya jadi kurang enak waktu memainkannya coba perbaiki dulu biar seimbang,negative
untuk severnya pilih pilih,negative
game kurang adil susah dapat hero padahal tidak ada yang menggunakan,negative
saya kangen sama magic ches yang dulu kalau menggunakan comander bass skil dapat gatot menggunakan elementalis,negative
games ok,positive
gacor kangg,neutral
buruk mau login malah tetap suruh buat akun padahal sudah ada,negative
mantap intinya jangan pilikasih di game ok ok,positive
perbaiki lagi sistem nya tidak jelas awal² masih peserta ketemu lawan nya itu lagi itu lagi tidak muter tidak seperti mc di ml,negative
serubikin penasaran,negative
semua game moonton membuat kesal selalu eror saat momen krusial padahal koneksi bagus bukan happy malah stres yang ada,negative
game nya oon,neutral
dari sistem terus asyu,negative
aga bingung dengan sinerginya,negative
saran saja sih mending di hapus gams nya dikit di nerf op dikit di nerf tidak komender tidak sinerji sama saja di nerf semua,negative
sip lah pokok nya,negative
terimakasih,positive
game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak,negative
jos gandos,neutral
lumayan lahuntuk sementara,negative
ampas sengaja sekali ngebuat lawan dapat di kasih kartu bagus bagus lawan di kasih kristal sinergi gue di kasih ampas,negative
game tolol akun saya hilang yet,negative
gamenya seru tapi akan seru lagi kalok saat menang atau ata quest yang di mana hadiahnya adalah hero yang ada di mlbb yang setuju like sampai agar di lihat sama papa monton,negative
orangnya pada egois,negative
game bagus cuma role bawah di hilangkan kan saja,negative
game menang kalah di atur deflover nya makin hancur semenjak aplikasi mcgg rilis kagak benar lagi main main nya,negative
izinkan penonton pertandingan menjual hero yang di tonton,negative
kenapa saya tidak dapat menginstal game ini,negative
saya heran sama sinergi summoner popoludah bintang saja yang keluar popol terus padahal sun sama vexana belum ada kenapa montoot kenapaaaaaaa kadang saya kesel sama popol terus trusan babi benerin lah montod,negative
game bagus mnghibur,neutral
nicee,neutral
rugi kalau tidak donlod game nya bagus,negative
permainan yang sangat buruk emakin banyak sinergi semakin sulit temukan gero yang sama hero yang di pakai malah susah di dapat kalau ada bintang minus saya kasih penilaian paling buruk karena membuat stres saja tidak di bolehin naik level muntun butut,negative
kenapa saya sedang dalam permainan sering mental keluarnyakeluar sendiri dalam permainan tolong penjelasanya,neutral
permainan membosankan kalah nya kali menangnya kali gila apak kalian,negative
aduh yang jelas dong role role an nya sudah enggak ada yang nabrak masa tidak pernah muncul heronya di shop sudah slot tinggi jugab,negative
mantepppp,neutral
ngurus server yang benar yakali menghubungkan ulang terus mana saat lagi late game pula,negative
semua bagus sangat bagus untuk banyak commander game play grafik dan lainnya sangat bagus,negative
semakin kesini semakin berat ini game,positive
masih ada yang main dengan chat curang,negative
sudah bagus tungkatkan saja,negative
pecah hubungan dengan mobel lagend mana lelet dan kbmbgb besar,negative
saya cinta mcgg,negative
quit addictive dan menghibur,positive
bagus² tingkat kan lagi,neutral
cape saya main game ini ajg tidak benar sistemnya pilih kasih lagi,negative
saya punya saran tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero kemudian ada pengambilan baru kristal seperti di magic ches yang ada di ml dulu soal nya yang sekarang tidak menarik sama sekali juga sinergi elementalis di adakan lagi,negative
game apalah damage comander sampai kurangi lah main jadi tidak lama langsung kalah damage comander yang di terima nya besar mau roll atas bagaimana mending saya hapus game nya,negative
aamon nerf woygak pernah lepas nih,negative
i love this game,neutral
terlalu susah,negative
tidak jelas ini game nya tergantung hokikadang tidak di kasih hokigogo card suka tidak jelas blessing tidak jelasdi kasih menang dulubaru nanti di balikin lagi poin nya ke awalkaya bukan ngpush tapi di jadikan boneka moonton,negative
game setingan taikk menang kali selanjut nya kalah terus ketemu lawan yang tidak ngotak dapat bintang saja susah di awal giliran dapat bintang hero lawan sudah bintang tidak imbang apa lagi sistem miror anjayy sudah tahu ketemu miror nya saja sudah kalah di ketemuin sama yang asli buat gogo card juga tidak ngotak kelihatan kalau mau di kalahin serba jelek bedan sama lawan serba dapat bagus,negative
sempurnaperfect,neutral
banyak bug,negative
gas bos ku,neutral
bagusnya lagi kalau ada mode yang bisa menggunakan skil comander mantap itu pasti,negative
permainannya sungguh menarik dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus,negative
sangatttttt bagus,negative
jika saya mendapatkan biji astro saya akan topup digem ini sebanyakbanyaknya,negative
jegoss tenan ini iki,neutral
sebenarnya bagus bagus saja game nyhanya saja masalah saat mengunduh datatidak bisa di jedakalo tujuan nya memang buat yang beli skin atau chess masuk akaltapi tidak semua orang seperti itutolong ya,negative
ok,positive
bagus sekali game nya pokoknya joss,negative
game nya bagus cocok buat santai,positive
asik dan lucu,neutral
malesnya update menggunakan segala download data,negative
saya suka sekaliigame nya seru sekali,negative
game kontooooi,positive
game bawa pusing susah dapat hero yang sama dengan sinergidijual semua hero tetap tidak keluar juga hero nya,negative
tidak jelas enakan seperti dulu ini harus tutor mana lama lagi tidak bisa di skip,negative
makin kesini makin tidak jelas ggcdnya jadi malas buat main lagi,negative
game sakit gilee enggak di kasih menang enggak setara,negative
seruh sih game nya saya masa karakter miya atau wanwan ikut main juga tidak seruh jadi saya kasih bintang,negative
tolong beri saya keuntungan dalam mendapatkan hero maupun gogocard nicke name dio jambu,neutral
mantap rasanya seperti dulu main tapi di sih dan sih serasa commander dulu sudah tidak bisa di menggunakan di season mana pun karena tidak ada perubahan atau nerf,negative
seru simpel,neutral
game apaan ini main tidak pernah di kasih menang selalu kalah terus menerus niat mau happy malah membuat darah tinggi,negative
game kontoooll,positive
agak samaratakan dulu kehokian pemain,negative
jangan download game dari moonton,negative
game biar tidak bosan,negative
obat bosan,negative
hero yang saya mau tidak pernah dapat jadi kalah terus bukanya saya tidak tahu main ya,negative
funny game,positive
game anjj,positive
game cacad,positive
tidak bisa saya mainkan di menu terus saya,negative
ok siap tempur,positive
kasih hero yang betol entot,negative
tolong ganti sinergi baru menjadi yang lama,negative
mengecewakan,negative
game gampang,neutral
sistem nya agak lain pemain ada kadang kalau deh di dalam game duel nya sama² itu saja padahal pemain nya ada,negative
lumayan bagus,negative
mantap buat menbunuh waktu,positive
game hama,neutral
wokeyasik,neutral
yang benar saja kemungkinan buat keluar hero harga tapi yang keluar banyaknya harga enggak jelas di keterangan hero yang tersisa saja masih lagi tapi enggak ada keluar sama sekali aneh sekali yang keluar malah hero hero yang bukan sinerginya saya deh rol dari gold sampai habis kacau,negative
lebih seru msgic chees dari pada mcggmaen mcgg masih banyak di atur sistem buat kemenangan nya,negative
rame bisa di mainkan kapan saja,negative
jjjjj tidak bagus,negative
game apa ini jelek semakin sering di mainkan semakin turun bintang semakin susah dapat commander game apa ini membosankan bulan di legend naik turun naik turun bintang tidak naik naik ke mytic setiap main dapat nomor main berikut nya langsung turun nomor lawan terasa berat dan kuat padahal hero nya lemah anehgame anehsetiap hari main bukan nya makin naik bintang malah makin turun hapus saja game ini jelek,negative
sampai glori keren cok benar benar seperti rank,negative
ini game yang saya sukai game ciptaan montoon ini memang bes,neutral
sampah sering terjadinya eror,neutral
stupid roll sistem,negative
game yang agak bergantung beruntung gamenya lancar otak langsung oblak terpana sama gameplaynya tiap round,positive
game enggak jelas blessing nya enggak mau ganti taii game enggak jelas,negative
good joob,positive
mantap lah pokoknya,neutral
game busuk lag padahal saya sudah mencoba lumayan seru ponsel saya oppo aman saja buat main yang lain kalau enggak karena gamenya apa lagi,negative
dark sistemnya di kurangi,negative
bagus sekali anjir sumpah bagus bagus,negative
tolong tambahkan lagi mode nostalgia yaitu chess tadi game yang asik dan santai untuk dimainkan,positive
tidak gacor,negative
sangat jelek sinyalnya buruk susah dapat hero bagus,negative
mohon dong montoon pengaturan fight per commander nya di benerin masa saya lawan yang top² mulu yang keroco² kagak pernah dilawanin,negative
nice gamee,positive
mantap pengganti chees rush bug nya juga bagus sama dengan mobile legend semua hero sangat sama terus pertahankan magic chees go go welcome,positive
kesal,negative
sistem miror hapus saja soal nya teman saya kalahan,negative
sangat bagus sekali game nya kak,negative
game pay tapi win yang isinya dark sistem,negative
terus kreasi lebih keren,positive
game nya bagus tapi tingkatin dong rate buat dapat item atau hero yang diinginkan masuk ke legend mau menggunakan kombo atau comander apapun tetap tergantung keberuntungan jarang sekali pengin dapat apa yang diinginkan jadi enggak pernah ngerasain juara lagi setiap main,negative
anjay,negative
tolong kasih wanwan terbang sama moskov,negative
wow,positive
sangat buruk,negative
matching tidak seimbangngejar glory saja susah tidak akurat pool shop nyakalo modal beruntung silahkan coba game enggak jelas ini,negative
seru buat mabar padahal main orang kumpul eh saat naik glory malah tidak bisa main lagi tidak seru sekali aturan itu ganti lah masa tidak bisa main orang lagi di glory kalau sendiri bosan sekali main game begini,negative
lumayan adu mekanik,negative
tidak mobanya tidak chessnya damagenya tidak jelas imba satu hero bisa lawan banyak modal equipment sama skill commander aneh kalau seperti begitu tidak usah dijudulin chess,negative
game babi capekcapek gacha malah dapat yang harga satu koin terus padahal level sudah,negative
anjay mabar,negative
enggak ueee,neutral
bagus bisa main sambil santai,negative
over all lumayan tapi kalau bisa perbaiki sistem banned kalau bisa saya sarankan banned sesuai vote bukan sukasuka moonton,negative
sangat puas dalam gamepokoknya enaklah terbaik,positive
fitur idiot pertama item jika terlalu banyak yang belum dipasang dan ingin scroll ke bawahmencari mirror tidak bisa,negative
tidak jelas aga lain memang sudah menang awas setelah main berikutnya di kasih kalah lagi tidak mau nasik imo karnah di persusah saya dapat lawan level malah spin enggak jelas dapat hero legend sampai bintang kita boroboro mau spin sampai habis gold naik level bintang saja susah padahal heronya banyak tidak ada yang memakai game lucu saja enggak masuk akal,negative
game tidak jelas tidak pernah di kasih beruntung untuk temanteman tolong jangan download ini game gamenya gj,negative
game terbaik di indonesia saya suka sekali main gi game ini,negative
anehh,neutral
game tidak recommend,neutral
gacha hero seperti tahi,negative
lag sekali apalagi saat late game pada afk musuhnya kurang ringan kebanyakan efek tidak guna,negative
game ini cocok untuk waktu santai ditemani segelas kopi,positive
game jelek disarankan untuk tidak download ini,neutral
tolong heronya jangan yang aneh dapatnya,negative
parah benar update datanya lama amat tidak menyambung koneksi bagus update data lambat benar,negative
game tidak adil,negative
game nya lumayan seru,negative
malas comander favorit kena nerf bye bye tol,negative
sangat kikir apalagi setiap ada event gatcha skin langka durasi event sampai hari eh event top up cuma kali saja menggunakan mode hemat pun di cicil gatcha diskon tiap hari sampai akhir event pun jumlah koin yang dikumpulkan setengah dari jumlah harga skinnya saja tidak sampai sangat kecewa menyesal main beginian,negative
game kikir mode costum practice doang saja tidak di kasih sama semua player wajib sekali ya harus konten kreator begitu game kikir,negative
gema nya bagus sih,neutral
sanget puas,positive
hapus saja nih game saya menang kok darah nya tinggal alah game licik game ju di game jelek,negative
ngsi lawan yang saat lah enggak jelas sekali nih game,negative
terlalu ribet karena dua aplikasi coba seperti dulu di satu aplikasi mudah dan tidak ribet yang ini terlalu ribet dan enggak jelas,negative
alah dipisah mls,negative
seruh sekali,negative
game anjing mengajak gelut,positive
game yang sangat asyik untuk roll heronya tlong lebih di mudahkan dapat hero incaran,neutral
sqngat menyenangkan sekali melawan player kain,negative
kalau nyariin musuh selalu tidak benar saya masih maytic romawi salalu di temuin sama rank yang tinggi saya sampai stresss cooooooooo,negative
game apalh pelit tidak sekarat tidak dapat hero enggak,negative
sangat cocok untuk di gunakan untuk di gunakan untuk membuat sebuah karya seni yang tinggi,negative
dari dulu main magic ches tapi sekarang makin aneh sinergi aktif herro full bintang tiga tapi kalah sama lawan yang herro murah bintang dua setiap hari main begini terus mbosankan,negative
game seru cocok untuk mengisi waktu luang,negative
kenapa tiap mau menghubungkan akun masalah koneksi terus padahal main ml lancar,negative
semenjak rilis sendiri apknya kupikir aneh sekali sistem lawannya sering sekali menemukan yang paling lemah lawannya sama yang paling kuat enggak seperti dulu jadi yang setara lawannya,negative
game menarik dan seru wajib coba semoga kedepannya bisa lebih baik lagi,negative
tolong di perhatikan lagi hero yang di butuhkan tidak pernah muncul di shop moonton giliran orang main pada wangi² capek moonton capekkk,negative
pokoknya mantap game ini melatih otak,neutral
game nya serumain nya juga santaingasah otak jugatapi tolong dong kasih event gratisan seperti kotak an buat main nya dllbiar tambah semangat main nya hehe,negative
belajar sinergi,positive
menghibur menemani saat santai,positive
goodgame,neutral
sering kalah,neutral
tidak bisa berkata,negative
mntap,neutral
madep boleh juga,positive
sangat asyik mainya,negative
game scam padahal sisa hero masih banyak tapi kagak keluar level nya sudah mentok padahal gold habis tetap gadapet,negative
