clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
tolong deh ini game strategi atau game hokian moonton sudah berapa kali seperti begini jarang dapat hero salin yang saya mau untuk naikin bintang apalagi hero gold padahal level commander saya sudah kalau seperti begitu terus ya sudah pasti kalah telak lah sama musuh yang beruntung lancar jaya dpaat hero yang dia mau,negative,positive,negative,negative,negative,negative,negative,negative
permainan hanya pakai atau beli diamond baru bisa menang game laknat,negative,positive,negative,negative,negative,neutral,neutral,negative
banyak bruizer parah,negative,positive,negative,negative,negative,negative,negative,negative
jelek amat,neutral,positive,negative,negative,negative,negative,negative,negative
bagus sekali permainan nya,negative,negative,positive,positive,neutral,positive,positive,positive
cool,positive,negative,positive,neutral,neutral,positive,positive,positive
sudah bagus hanya jadi kurang bisa menikmati game karena terlalu cepat lebih suka ya dulu,negative,positive,positive,neutral,negative,negative,negative,negative
susah nya menjadikan sinergi eruditio di mode gold rush saya sudah mencoba lebih dari kali menggunakan commander jhonson tapi tidak pernah dikasih dua crystal eruditio dari go go card atau hadiah setelah creep padahal hanya di mode itu saya bisa senang tapi karena tidak pernah mendapatkan crystal yang sama saya jadi emosi hapus saja sekalian mode gold rush tidak guna anjenk,negative,positive,negative,negative,negative,negative,negative,negative
permainan kurang teratur dari segi hiro nya dari kualitas nya tidak masuk di akal,negative,positive,negative,negative,negative,negative,negative,negative
tolong untuk commander brown di revamp ya yang skill kedua blazing hammer soalnya yang skill sekarang kurang kuat dan kagak ada yang pakai commander ini itu saja tolong di dengarkan dan di revamp,negative,positive,negative,negative,negative,negative,neutral,negative
enak,negative,negative,positive,positive,neutral,positive,positive,positive
berat benar yang sekarang nih,negative,positive,negative,negative,negative,negative,negative,negative
game simple seperti komen ku,positive,negative,neutral,neutral,negative,positive,positive,neutral
tidak adil terhadap player secara merata karena hanya beberapa player saja yang di berikan privilege untuk akses practice mode,negative,positive,negative,negative,negative,negative,negative,negative
rasanya mau saya uninstall masak hero gold kalah sama sinergi enggak adil sekali kalah nomer lima pula padahal pakai fanco bintang game konsol,negative,positive,negative,negative,negative,negative,negative,negative
grafiknya bagus,negative,negative,positive,positive,neutral,positive,positive,positive
di awal² mah seru tapi sekarang tidak bisa login kalau menggunakan data seluler,negative,neutral,negative,neutral,negative,negative,negative,negative
selalu terupdate dan pastinya seru untuk selingan kalau capek ngerank,negative,negative,positive,positive,neutral,positive,positive,positive
kocak tidak pernah dapat item yang dibutuhkan,negative,positive,negative,negative,negative,negative,negative,negative
masa saya epik dilawan sama lejen sama mitik tidak imbang sekali,negative,positive,negative,negative,negative,negative,negative,negative
sangat bagus saya berharap kedepannya dapat bermain secara offline,negative,negative,positive,positive,neutral,positive,positive,positive
itu sudah keren gamenya tapi itu hitungan gold bagaimana sih gold saya up level saya up masa gold saya ngurang sampai seharusnya kan,negative,positive,negative,negative,negative,negative,negative,negative
cucuk di mainkan kalau koneksi tidak stabil,negative,positive,negative,negative,negative,negative,neutral,negative
asik asik benar benar chess,neutral,negative,positive,positive,neutral,positive,positive,positive
sg ngawe dulinan mbeldos,neutral,positive,negative,negative,negative,neutral,neutral,negative
permainan yang menyenangkan,negative,negative,positive,positive,neutral,positive,positive,positive
untuk game nya sudah lumayan lah ya tapi seperti nya ini game menyerap banyak mbak sehingga saya main pun sudah habis kouta nya ini menurut ku kalau kalian bagaimana,negative,positive,positive,neutral,negative,negative,negative,positive
mantaap,neutral,negative,positive,positive,neutral,positive,positive,positive
game judi,positive,negative,neutral,neutral,neutral,positive,negative,negative
dikarenakan tidak mendapatkan gogocard premium client,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
bagus tapi tolong jangan hapus sinergi astro,negative,positive,negative,neutral,negative,neutral,negative,negative
gamenya enak lebih seru,negative,negative,positive,neutral,neutral,positive,positive,positive
bjir amat ini game,positive,positive,negative,negative,negative,negative,negative,negative
buat semua orang tidak usah mikir main ini game karena apa karena faktor keberuntungan yang di menggunakan bukan skill kita jadi kalau kalian mau main harus punya keberuntungan bagus yang tidak bagus mah tidak bakalan menang main nih game,negative,positive,negative,neutral,negative,negative,negative,negative
game tidak jelas dirugiin mulu saya main ini bukannya seru malah membuat emosi,negative,positive,negative,negative,negative,negative,negative,negative
excellent,neutral,negative,positive,positive,neutral,positive,positive,positive
lumayan,negative,negative,positive,neutral,neutral,positive,positive,positive
tolong tambahkan fitur blokir player dan pertemanan di game ini jangan di gabung dengan pertemanan di game mobile lagends,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
lumayan bagus sistemnya sekarang,negative,negative,positive,neutral,neutral,positive,positive,positive
saya tidak pernah beruntung di game ini,neutral,positive,negative,negative,negative,negative,negative,negative
game nya butut,neutral,positive,negative,negative,negative,neutral,negative,negative
game gaguna anjing,neutral,positive,negative,negative,negative,negative,negative,negative
tolong hasil vote yang sesuai jangan random perbaiki hasil vote woyyyy,positive,positive,negative,neutral,negative,neutral,neutral,negative
gemnya ng jelas tolong itu demeknya dikuragi baru menit main ponsel tinggal padahal yang lain masih hpnya persen mending saya uninsatal bagi yang belum downlod jangan di download mengecewakan,negative,positive,negative,negative,negative,negative,negative,negative
menarik dan seru,negative,negative,positive,positive,neutral,positive,positive,positive
jadi ketagihan main mcgg,negative,negative,positive,positive,neutral,positive,positive,positive
saran semakin tinggi babaknya sekamin tinggi juga waktu sebelum war,negative,positive,negative,negative,negative,positive,negative,negative
simpel saja ngandelin beruntung kalau beruntung kalau bau kebangetan sering sekali dimatch ke lawan yang powernya jauh mau nonmirror atau mirror tidak ngurut seperti dulu tolong perbaiki,negative,positive,negative,negative,negative,negative,negative,negative
game tidak ngotak,neutral,negative,positive,negative,negative,positive,positive,positive
kadang dark sistem tapi seru,negative,negative,positive,neutral,neutral,positive,positive,positive
good job,positive,negative,positive,positive,neutral,positive,positive,positive
moonton orang mau ganti device saja tidak bisa email sama password deh benar eh malah saat beres deteksi cerdas kesalahan koneksi deh nunggu dua bulan masih saja sama ada bug tuh benerin dong,negative,positive,negative,negative,negative,negative,negative,negative
game tolol tidak jelas,negative,positive,negative,negative,negative,negative,negative,negative
tidak bisa meroling lawan yang benar,negative,positive,negative,negative,negative,negative,negative,negative
terus tingkatkan pencapaian kalian good job,positive,negative,positive,positive,neutral,positive,positive,positive
mantap tapi rued,positive,negative,positive,neutral,neutral,positive,positive,positive
kenapa kalau kita main ini gm magic chess gogo itu harus update dan tambah data,negative,neutral,neutral,positive,negative,neutral,neutral,neutral
asik menyenangkan ada diamond sama acak dan bisa mencoba atau lihat skin di magic chess go go,positive,negative,positive,positive,neutral,positive,positive,positive
game ini asikk sekali saya main dari sampai sekarang bisa ngisi kekabutan kita se hari kalau sendiri atau sama teman bisa juga mabar ber,negative,negative,positive,positive,neutral,positive,positive,positive
makin rusak ini game nya musuh dapat hero semua bintang saya dapat pun tidak padahal dilihat di store hero masih full sengaja sekali nih game,negative,positive,negative,negative,negative,negative,negative,negative
keren anjay,neutral,negative,positive,positive,neutral,positive,positive,positive
kasih pilihan hero diawal biar enak malah ngebanyakin comander hero nya acak tidak seru asli susah nya kebangetan,negative,positive,positive,negative,negative,negative,negative,negative
ribet sekali mau ganti akun lama enggak bisa,negative,positive,negative,negative,negative,negative,negative,negative
saya suka main magic chess go go menurut saya game ini cukup santai bisa sambil ngopi,negative,negative,positive,positive,neutral,positive,positive,positive
game yang seru dan bisa mengisi waktu luang apalagi kalau main bareng teman lihat teman lagi emosi bawaannya mau ketawa ini game seperti game komedi,negative,negative,positive,positive,neutral,positive,positive,positive
tetap rune nostalgia paling mantap kalau misalkan kemarin tidak di tambahkan rune nostalgia auto vakum karena yang mcgg menurut saya tidak masuk akal dengan sinergi dan hero nya dengan sedikit waktu pertandingan bisa langsung end saya sendiri selaku player mc dari pertama keluar di mlbb merasa mcgg ini seperti bukan game strategi satu hal lagi untuk pak moonton yang terhormat apakah bisa di perbaharui commander nya berubah skill seperti di mlbb dulu saat masuk rune nostalgia terimakasih,negative,negative,positive,positive,neutral,positive,positive,positive
game haram jangan di download yang bikinya haram,negative,positive,negative,negative,negative,negative,negative,negative
jangan main game ini guys sakit ginjal entar kalian monton tol,negative,positive,negative,negative,negative,negative,negative,negative
seru tapi kok legend nya sampai tidak seperti biyasanya cuma sampai,negative,positive,negative,negative,negative,negative,negative,negative
semakin di mainkan semakin di turunkan hokinya kalah kali baru bagus lagi aturan game tidak sesuai skil pemain suka gamenya yang menang siapa,negative,positive,positive,negative,negative,negative,negative,negative
game tidak masuk akal dan tidak adil,negative,positive,negative,negative,negative,negative,negative,negative
seru gaes,negative,negative,positive,neutral,neutral,positive,positive,positive
baru naik mytich kocokan heronya tidak jelasgold nya susah sekali alias miskin hadeuh heran sama ini game berpihak sekali uninstall lah thx deh ngsih naik mytich,negative,positive,negative,negative,negative,negative,negative,negative
game nya bagus tapi ada sedikit bug,negative,positive,negative,neutral,neutral,negative,negative,negative
membuat gila lagi ya,neutral,positive,negative,negative,negative,negative,negative,negative
sistem pasti win kali kalah berkali kali sistem tolong dong magic chess tidak seru,negative,positive,negative,negative,negative,negative,negative,negative
kagak jelas sudah kesambung ke akun menonton masih saja akun nya itu saja,negative,positive,negative,negative,negative,negative,negative,negative
knapa tidak dgabung seperti dulu saja sih,negative,positive,negative,negative,negative,negative,negative,negative
permainannya sangat bagus bagi yang mengerti,negative,negative,positive,positive,neutral,positive,positive,positive
terlalu banyak hero tidak guna termasuk yhuzon hero gold tapi tidak jelas arahnya mau kemana dan banyak kejanggalan di slot masa hero gold susah muncul game rusak,negative,positive,negative,negative,negative,negative,negative,negative
dancok,neutral,positive,negative,negative,negative,negative,negative,positive
game tolol go go card enggak penting kangen mc persi mobile legend,negative,positive,negative,negative,negative,neutral,negative,negative
ok bosa ber nostalgia,positive,negative,positive,neutral,neutral,negative,neutral,positive
dear developer mcgg tolong untuk manajemen konten bagian download data bisa diatur tanpa download semua data di mcgg terima kasih,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
game bug ambil imo di kasih nana memang gangotakk gagal win,negative,positive,negative,negative,negative,negative,negative,negative
game nya seru sampai mau nampol role nya susah game bagi orang yang sabar dan kuat,negative,negative,positive,positive,negative,positive,positive,positive
gamenya sudah bagus sih tapi kok di saya tidak ada mode practice nya yaaapa ponsel saya yang salah atau memang tidak ada practice soalnya orang banyak main mode practice tapi di saya tidak ada jadi tolong di perbaiki ya,negative,positive,negative,neutral,negative,negative,negative,negative
game rusak,neutral,positive,negative,negative,negative,negative,negative,negative
tolong charnya di perbanyak lagi,negative,neutral,negative,negative,negative,neutral,neutral,negative
bagus dan keren,neutral,negative,positive,positive,neutral,positive,positive,positive
sangat mudah dimainkan dan sangat bagus,negative,negative,positive,positive,neutral,positive,positive,positive
nice games,positive,negative,positive,neutral,neutral,positive,positive,positive
monton tolong jangan download lagi kalau abiss pindahh server haruss download lagi ngabisin kuotaa sama waktuu tolongg perbaiki,negative,positive,negative,negative,negative,negative,neutral,negative
seru sekali nih game,negative,negative,positive,neutral,neutral,positive,positive,positive
kikir saat lagi nge roll ampas,negative,positive,negative,negative,negative,negative,negative,negative
bagus kalau beruntung,negative,negative,positive,neutral,neutral,positive,positive,positive
tolong dong comandernya di membuat seperti dulu ling skil op,negative,positive,neutral,negative,negative,neutral,neutral,negative
game yang sangat bagus untuk bosan tapi sayang enggak bisa mode offline pliss kasih fitur mode offline seperti mobile legend,negative,negative,positive,neutral,neutral,positive,positive,positive
game tidak adil musuh dapat bintang saya dapat bintang saja enggak fix sabotase,negative,positive,negative,negative,negative,negative,negative,negative
mohon ditiadakan menu buat party karena ada player yang buat party isinya akun dia semua buat tumbal biar dia bisa menang,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
game tolol,neutral,positive,negative,negative,negative,negative,negative,negative
untuk ganti akun terlalu ribet dan paling malas kalau tutorial enggak ada tombol skip,negative,positive,negative,negative,negative,negative,negative,negative
bawakdewak tahu ah bintang saja,negative,positive,negative,negative,negative,negative,neutral,negative
game nya bagus gameplay nya tidak ribet dan harga commander nya murah murah,negative,negative,positive,positive,neutral,positive,positive,positive
permainan tanpa beban dan asik saja,negative,negative,positive,positive,neutral,positive,positive,positive
sangat menyenangkan bermain megi ces go go,negative,negative,positive,positive,neutral,positive,positive,positive
top,positive,negative,positive,positive,neutral,positive,positive,positive
gameplay nya seru dan membuat nagih,neutral,negative,positive,positive,neutral,positive,positive,positive
tidak adil memberi ke player kristal,negative,positive,negative,negative,negative,negative,negative,negative
bahaya game ini pembodohan blokir saja nih kominfo tak guna buang buang waktu orang saja,negative,positive,negative,negative,negative,negative,negative,negative
buang buang waktu,negative,positive,negative,negative,negative,negative,negative,negative
sangat bagus dan seru,negative,negative,positive,positive,neutral,positive,positive,positive
tolong lah hero nya kok tidak lengkap tidak seru,negative,positive,negative,negative,negative,negative,negative,negative
ini kenapa lagi deh mau login saja tidak bisa bisa padahal tadi sempat main bisa terus sekarang kenapa tidak bisa login koneksi aman loh tolong dong min kenapa sih,negative,positive,negative,negative,negative,negative,negative,negative
its ok,positive,negative,positive,neutral,neutral,negative,positive,positive
p magic,neutral,negative,positive,neutral,negative,positive,positive,negative
di akun mcgg saya tidak ada maps party yang room chet itu cara memunculkannya bagaimana,negative,neutral,neutral,negative,negative,neutral,neutral,negative
seru dan agak sedikit lag saja terima kasih,negative,positive,negative,neutral,neutral,negative,positive,negative
game buruk tidak kasih saya kok yang jelek jelek hu game burik,negative,positive,negative,negative,negative,negative,negative,negative
nice game,positive,negative,positive,positive,neutral,positive,positive,positive
kasih aurora skin mythic bang,negative,neutral,positive,negative,neutral,positive,positive,neutral
game tidak jelas balikin mc lama roll lan isi nya enggak jelas semua,negative,positive,negative,negative,negative,negative,negative,negative
suka karena game online santai,neutral,negative,positive,positive,neutral,positive,positive,positive
game nya oferal bagus tidak jauh beda dari mc biasa tapi itu mode yang baru kenapa seperti tidak terlalu berguna masak cuman sekali kirim saja dan juga membuat seperti bisa mengasih item juga atau barter item membuat biar bisa mengasih satu hero di satu fase sama item item juga biar makin asik,negative,negative,positive,neutral,negative,positive,positive,positive
untuk commandernya masih op waktu di mcbb sih lebih seru ada skill nya dan agak kecewa kami player vale skill sama sudah dihilangkan,negative,positive,negative,negative,negative,negative,negative,negative
menghibur dan belajar banyak hero dan aitem,positive,negative,positive,positive,neutral,positive,positive,positive
kerenenak combonya,neutral,negative,positive,positive,neutral,positive,positive,positive
makin aneh tidak jelas,negative,positive,negative,negative,negative,negative,negative,negative
fun game,positive,negative,positive,neutral,neutral,neutral,positive,positive
game enggak jelas awal doang manis seperti janji mantan,negative,positive,negative,negative,negative,negative,negative,negative
role nya kacau gold an cari hero harga gold tidak keluar padahal stok masih banyak kocak habis natan bintang tiga tidak bisa hero di shop masih koin lebih tidak muncul satu pun level deh maksimal padahal parah,negative,positive,negative,negative,negative,negative,negative,negative
the best game,positive,negative,positive,positive,neutral,positive,positive,positive
game bloon hero tidak di kasihparah sih rasa keadilan main tidak fairparah parah hero tidak keluar keluar,negative,positive,negative,negative,negative,negative,negative,negative
keren dan enjoy mainnya,positive,negative,positive,positive,neutral,positive,positive,positive
seru tapi mohon untuk di permudah menaikan bintang commander,negative,negative,negative,neutral,negative,neutral,negative,positive
sangat menyenangkan buat pelayer mlbb,negative,negative,positive,positive,neutral,positive,positive,positive
mantap pokok nya mahh debesttt,negative,negative,positive,positive,neutral,positive,positive,positive
hero nya diumpetin terus sampai habis gold kagak muncul bangkai memang ini game buruk sekali dalam memunculkan hero yang sama,negative,positive,negative,negative,negative,negative,negative,negative
sepinter apapun mainnya kalau tokonya ampas ya enggak bakal menang mudah dan satu match bakal main lama sekali ngabisin terlalu banyak waktu doang mainin ini game saya yakin yang masih fun mainin ini game cuma conten creator yang memang dapat duit dari konten sisanya paling bocah yang hidupnya belum ngemban tanggung jawab sama pengangguran yang memang enggak punya tanggung jawab,negative,positive,negative,negative,negative,negative,negative,negative
lumayan buat ngisi waktu luang,negative,negative,positive,neutral,neutral,positive,positive,positive
sering lag servernya koneksi wifi mbps lancar jaya tapi gamenya lag diperbaiki severnya refresh di shop tidak jelas hero tidak ada yang menggunakan tidak pernah muncul di shop stok masih banyak tapi sudah didapat dark sistem game tolol,negative,positive,negative,negative,negative,negative,negative,negative
tidak seru,negative,positive,negative,negative,negative,negative,negative,negative
sumpah kesel saya dari awal main mcgg ini saya kesel sekali yang namanya comander wanwan kombo yang keluar petir kombo sampah mengapa di mengadakan damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo seperti begitu tolong lah hapus kombo yang sampah ituganggu sekali tuh petirnya risi saya setiap ketemu kombo sampah ituudah mah wanwan mengeluarkan skilpetir rusak semua,negative,positive,negative,negative,negative,negative,negative,negative
saya pemain lama di magic chess mobile legend magic chess yang sekarang tidak enak banyak yang di rubah,negative,positive,negative,negative,negative,negative,negative,negative
synerginya tidak seimbang dari segi damage dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya jadi kurang enak waktu memainkannya coba perbaiki dulu biar seimbang,negative,positive,negative,negative,negative,negative,negative,negative
untuk severnya pilih pilih,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
game kurang adil susah dapat hero padahal tidak ada yang menggunakan,negative,positive,negative,negative,negative,negative,negative,negative
saya kangen sama magic ches yang dulu kalau menggunakan comander bass skil dapat gatot menggunakan elementalis,negative,negative,positive,negative,neutral,positive,positive,positive
games ok,positive,negative,positive,negative,neutral,neutral,neutral,positive
gacor kangg,neutral,negative,positive,negative,negative,positive,negative,negative
buruk mau login malah tetap suruh buat akun padahal sudah ada,negative,positive,negative,negative,negative,negative,negative,negative
mantap intinya jangan pilikasih di game ok ok,positive,negative,negative,neutral,neutral,negative,negative,positive
perbaiki lagi sistem nya tidak jelas awal² masih peserta ketemu lawan nya itu lagi itu lagi tidak muter tidak seperti mc di ml,negative,positive,negative,negative,negative,negative,negative,negative
serubikin penasaran,negative,negative,positive,positive,negative,negative,positive,positive
semua game moonton membuat kesal selalu eror saat momen krusial padahal koneksi bagus bukan happy malah stres yang ada,negative,positive,negative,negative,negative,negative,negative,negative
game nya oon,neutral,positive,negative,negative,negative,positive,neutral,negative
dari sistem terus asyu,negative,positive,negative,negative,negative,negative,positive,negative
aga bingung dengan sinerginya,negative,positive,negative,neutral,negative,negative,negative,negative
saran saja sih mending di hapus gams nya dikit di nerf op dikit di nerf tidak komender tidak sinerji sama saja di nerf semua,negative,positive,negative,negative,negative,negative,negative,negative
sip lah pokok nya,negative,negative,positive,neutral,neutral,positive,positive,positive
terimakasih,positive,negative,positive,positive,neutral,positive,positive,positive
game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak,negative,positive,negative,negative,negative,negative,neutral,negative
jos gandos,neutral,negative,positive,positive,negative,positive,neutral,positive
lumayan lahuntuk sementara,negative,negative,positive,neutral,neutral,positive,positive,positive
ampas sengaja sekali ngebuat lawan dapat di kasih kartu bagus bagus lawan di kasih kristal sinergi gue di kasih ampas,negative,positive,negative,negative,negative,negative,negative,negative
game tolol akun saya hilang yet,negative,positive,negative,negative,negative,negative,negative,negative
gamenya seru tapi akan seru lagi kalok saat menang atau ata quest yang di mana hadiahnya adalah hero yang ada di mlbb yang setuju like sampai agar di lihat sama papa monton,negative,negative,positive,neutral,neutral,positive,positive,positive
orangnya pada egois,negative,positive,negative,negative,negative,negative,negative,negative
game bagus cuma role bawah di hilangkan kan saja,negative,positive,negative,neutral,negative,negative,negative,negative
