Ulasan,Rating,Aspek,Sentimen
gemnya seru sekali mana hampir sama ml yang asli,5,satisfaction,positive
bug terus saat mau ganti akunnya sudah uninstall balik juga tetap begitu payah,1,effectiveness,negative
tolong deh ini game strategi atau game hokian moonton sudah berapa kali seperti begini jarang dapat hero salin yang saya mau untuk naikin bintang apalagi hero gold padahal level commander saya sudah kalau seperti begitu terus ya sudah pasti kalah telak lah sama musuh yang beruntung lancar jaya dpaat hero yang dia mau,1,satisfaction,negative
permainan hanya pakai atau beli diamond baru bisa menang game laknat,1,satisfaction,negative
banyak bruizer parah,1,unknown,negative
jelek amat,1,satisfaction,negative
bagus sekali permainan nya,5,satisfaction,positive
cool,5,unknown,positive
sudah bagus hanya jadi kurang bisa menikmati game karena terlalu cepat lebih suka ya dulu,5,satisfaction,negative
susah nya menjadikan sinergi eruditio di mode gold rush saya sudah mencoba lebih dari kali menggunakan commander jhonson tapi tidak pernah dikasih dua crystal eruditio dari go go card atau hadiah setelah creep padahal hanya di mode itu saya bisa senang tapi karena tidak pernah mendapatkan crystal yang sama saya jadi emosi hapus saja sekalian mode gold rush tidak guna anjenk,1,satisfaction,negative
permainan kurang teratur dari segi hiro nya dari kualitas nya tidak masuk di akal,1,satisfaction,negative
tolong untuk commander brown di revamp ya yang skill kedua blazing hammer soalnya yang skill sekarang kurang kuat dan kagak ada yang pakai commander ini itu saja tolong di dengarkan dan di revamp,5,satisfaction,negative
enak,5,unknown,positive
berat benar yang sekarang nih,3,satisfaction,negative
game simple seperti komen ku,5,satisfaction,neutral
tidak adil terhadap player secara merata karena hanya beberapa player saja yang di berikan privilege untuk akses practice mode,1,satisfaction,negative
rasanya mau saya uninstall masak hero gold kalah sama sinergi enggak adil sekali kalah nomer lima pula padahal pakai fanco bintang game konsol,3,effectiveness,negative
grafiknya bagus,5,satisfaction,positive
di awal² mah seru tapi sekarang tidak bisa login kalau menggunakan data seluler,1,satisfaction,negative
selalu terupdate dan pastinya seru untuk selingan kalau capek ngerank,5,satisfaction,positive
kocak tidak pernah dapat item yang dibutuhkan,1,effectiveness,negative
masa saya epik dilawan sama lejen sama mitik tidak imbang sekali,1,satisfaction,negative
sangat bagus saya berharap kedepannya dapat bermain secara offline,5,satisfaction,positive
itu sudah keren gamenya tapi itu hitungan gold bagaimana sih gold saya up level saya up masa gold saya ngurang sampai seharusnya kan,5,satisfaction,negative
cucuk di mainkan kalau koneksi tidak stabil,5,effectiveness,negative
asik asik benar benar chess,5,effectiveness,positive
sg ngawe dulinan mbeldos,1,effectiveness,negative
permainan yang menyenangkan,5,satisfaction,positive
untuk game nya sudah lumayan lah ya tapi seperti nya ini game menyerap banyak mbak sehingga saya main pun sudah habis kouta nya ini menurut ku kalau kalian bagaimana,1,satisfaction,positive
mantaap,5,satisfaction,positive
game judi,1,unknown,negative
dikarenakan tidak mendapatkan gogocard premium client,1,unknown,neutral
bagus tapi tolong jangan hapus sinergi astro,5,satisfaction,negative
gamenya enak lebih seru,5,satisfaction,positive
bjir amat ini game,5,unknown,negative
buat semua orang tidak usah mikir main ini game karena apa karena faktor keberuntungan yang di menggunakan bukan skill kita jadi kalau kalian mau main harus punya keberuntungan bagus yang tidak bagus mah tidak bakalan menang main nih game,1,satisfaction,negative
game tidak jelas dirugiin mulu saya main ini bukannya seru malah membuat emosi,1,effectiveness,negative
excellent,5,unknown,positive
lumayan,4,satisfaction,positive
tolong tambahkan fitur blokir player dan pertemanan di game ini jangan di gabung dengan pertemanan di game mobile lagends,2,satisfaction,neutral
lumayan bagus sistemnya sekarang,4,satisfaction,positive
saya tidak pernah beruntung di game ini,1,unknown,negative
game nya butut,5,effectiveness,negative
game gaguna anjing,1,satisfaction,negative
tolong hasil vote yang sesuai jangan random perbaiki hasil vote woyyyy,3,effectiveness,negative
gemnya ng jelas tolong itu demeknya dikuragi baru menit main ponsel tinggal padahal yang lain masih hpnya persen mending saya uninsatal bagi yang belum downlod jangan di download mengecewakan,1,satisfaction,negative
menarik dan seru,5,satisfaction,positive
jadi ketagihan main mcgg,5,unknown,positive
saran semakin tinggi babaknya sekamin tinggi juga waktu sebelum war,5,effectiveness,negative
simpel saja ngandelin beruntung kalau beruntung kalau bau kebangetan sering sekali dimatch ke lawan yang powernya jauh mau nonmirror atau mirror tidak ngurut seperti dulu tolong perbaiki,1,effectiveness,negative
game tidak ngotak,1,unknown,positive
kadang dark sistem tapi seru,4,satisfaction,positive
good job,5,unknown,positive
moonton orang mau ganti device saja tidak bisa email sama password deh benar eh malah saat beres deteksi cerdas kesalahan koneksi deh nunggu dua bulan masih saja sama ada bug tuh benerin dong,3,satisfaction,negative
game tolol tidak jelas,1,effectiveness,negative
tidak bisa meroling lawan yang benar,1,satisfaction,negative
terus tingkatkan pencapaian kalian good job,5,effectiveness,positive
mantap tapi rued,5,satisfaction,positive
kenapa kalau kita main ini gm magic chess gogo itu harus update dan tambah data,4,unknown,neutral
asik menyenangkan ada diamond sama acak dan bisa mencoba atau lihat skin di magic chess go go,5,satisfaction,positive
game ini asikk sekali saya main dari sampai sekarang bisa ngisi kekabutan kita se hari kalau sendiri atau sama teman bisa juga mabar ber,5,satisfaction,positive
makin rusak ini game nya musuh dapat hero semua bintang saya dapat pun tidak padahal dilihat di store hero masih full sengaja sekali nih game,1,satisfaction,negative
keren anjay,5,satisfaction,positive
kasih pilihan hero diawal biar enak malah ngebanyakin comander hero nya acak tidak seru asli susah nya kebangetan,1,satisfaction,negative
ribet sekali mau ganti akun lama enggak bisa,1,satisfaction,negative
saya suka main magic chess go go menurut saya game ini cukup santai bisa sambil ngopi,5,satisfaction,positive
game yang seru dan bisa mengisi waktu luang apalagi kalau main bareng teman lihat teman lagi emosi bawaannya mau ketawa ini game seperti game komedi,5,satisfaction,positive
tetap rune nostalgia paling mantap kalau misalkan kemarin tidak di tambahkan rune nostalgia auto vakum karena yang mcgg menurut saya tidak masuk akal dengan sinergi dan hero nya dengan sedikit waktu pertandingan bisa langsung end saya sendiri selaku player mc dari pertama keluar di mlbb merasa mcgg ini seperti bukan game strategi satu hal lagi untuk pak moonton yang terhormat apakah bisa di perbaharui commander nya berubah skill seperti di mlbb dulu saat masuk rune nostalgia terimakasih,3,satisfaction,positive
game haram jangan di download yang bikinya haram,1,satisfaction,negative
jangan main game ini guys sakit ginjal entar kalian monton tol,1,satisfaction,negative
seru tapi kok legend nya sampai tidak seperti biyasanya cuma sampai,5,satisfaction,negative
semakin di mainkan semakin di turunkan hokinya kalah kali baru bagus lagi aturan game tidak sesuai skil pemain suka gamenya yang menang siapa,1,satisfaction,negative
game tidak masuk akal dan tidak adil,1,satisfaction,negative
seru gaes,3,satisfaction,positive
baru naik mytich kocokan heronya tidak jelasgold nya susah sekali alias miskin hadeuh heran sama ini game berpihak sekali uninstall lah thx deh ngsih naik mytich,1,satisfaction,negative
game nya bagus tapi ada sedikit bug,4,satisfaction,negative
membuat gila lagi ya,5,effectiveness,negative
sistem pasti win kali kalah berkali kali sistem tolong dong magic chess tidak seru,1,effectiveness,negative
kagak jelas sudah kesambung ke akun menonton masih saja akun nya itu saja,1,effectiveness,negative
knapa tidak dgabung seperti dulu saja sih,1,satisfaction,negative
permainannya sangat bagus bagi yang mengerti,5,satisfaction,positive
terlalu banyak hero tidak guna termasuk yhuzon hero gold tapi tidak jelas arahnya mau kemana dan banyak kejanggalan di slot masa hero gold susah muncul game rusak,1,satisfaction,negative
dancok,5,unknown,positive
game tolol go go card enggak penting kangen mc persi mobile legend,1,effectiveness,negative
ok bosa ber nostalgia,5,satisfaction,positive
dear developer mcgg tolong untuk manajemen konten bagian download data bisa diatur tanpa download semua data di mcgg terima kasih,3,satisfaction,neutral
game bug ambil imo di kasih nana memang gangotakk gagal win,1,satisfaction,negative
game nya seru sampai mau nampol role nya susah game bagi orang yang sabar dan kuat,5,satisfaction,positive
gamenya sudah bagus sih tapi kok di saya tidak ada mode practice nya yaaapa ponsel saya yang salah atau memang tidak ada practice soalnya orang banyak main mode practice tapi di saya tidak ada jadi tolong di perbaiki ya,4,satisfaction,negative
game rusak,1,effectiveness,negative
tolong charnya di perbanyak lagi,5,effectiveness,negative
bagus dan keren,5,satisfaction,positive
sangat mudah dimainkan dan sangat bagus,5,satisfaction,positive
nice games,5,unknown,positive
monton tolong jangan download lagi kalau abiss pindahh server haruss download lagi ngabisin kuotaa sama waktuu tolongg perbaiki,5,satisfaction,negative
seru sekali nih game,4,satisfaction,positive
kikir saat lagi nge roll ampas,1,satisfaction,negative
bagus kalau beruntung,5,satisfaction,positive
tolong dong comandernya di membuat seperti dulu ling skil op,2,effectiveness,negative
game yang sangat bagus untuk bosan tapi sayang enggak bisa mode offline pliss kasih fitur mode offline seperti mobile legend,5,satisfaction,positive
game tidak adil musuh dapat bintang saya dapat bintang saja enggak fix sabotase,1,satisfaction,negative
mohon ditiadakan menu buat party karena ada player yang buat party isinya akun dia semua buat tumbal biar dia bisa menang,5,satisfaction,neutral
game tolol,1,effectiveness,negative
untuk ganti akun terlalu ribet dan paling malas kalau tutorial enggak ada tombol skip,1,satisfaction,negative
bawakdewak tahu ah bintang saja,5,satisfaction,negative
game nya bagus gameplay nya tidak ribet dan harga commander nya murah murah,5,satisfaction,positive
permainan tanpa beban dan asik saja,5,satisfaction,positive
sangat menyenangkan bermain megi ces go go,5,satisfaction,positive
top,5,unknown,positive
gameplay nya seru dan membuat nagih,5,satisfaction,positive
tidak adil memberi ke player kristal,1,effectiveness,negative
bahaya game ini pembodohan blokir saja nih kominfo tak guna buang buang waktu orang saja,1,satisfaction,negative
buang buang waktu,1,satisfaction,negative
sangat bagus dan seru,5,satisfaction,positive
tolong lah hero nya kok tidak lengkap tidak seru,3,effectiveness,negative
ini kenapa lagi deh mau login saja tidak bisa bisa padahal tadi sempat main bisa terus sekarang kenapa tidak bisa login koneksi aman loh tolong dong min kenapa sih,2,effectiveness,negative
its ok,1,unknown,positive
p magic,5,unknown,negative
di akun mcgg saya tidak ada maps party yang room chet itu cara memunculkannya bagaimana,5,effectiveness,negative
seru dan agak sedikit lag saja terima kasih,5,satisfaction,negative
game buruk tidak kasih saya kok yang jelek jelek hu game burik,1,satisfaction,negative
nice game,5,unknown,positive
kasih aurora skin mythic bang,5,satisfaction,neutral
game tidak jelas balikin mc lama roll lan isi nya enggak jelas semua,1,satisfaction,negative
suka karena game online santai,5,satisfaction,positive
game nya oferal bagus tidak jauh beda dari mc biasa tapi itu mode yang baru kenapa seperti tidak terlalu berguna masak cuman sekali kirim saja dan juga membuat seperti bisa mengasih item juga atau barter item membuat biar bisa mengasih satu hero di satu fase sama item item juga biar makin asik,3,satisfaction,positive
untuk commandernya masih op waktu di mcbb sih lebih seru ada skill nya dan agak kecewa kami player vale skill sama sudah dihilangkan,5,satisfaction,negative
menghibur dan belajar banyak hero dan aitem,5,satisfaction,positive
kerenenak combonya,5,satisfaction,positive
makin aneh tidak jelas,1,unknown,negative
fun game,5,satisfaction,positive
game enggak jelas awal doang manis seperti janji mantan,1,satisfaction,negative
role nya kacau gold an cari hero harga gold tidak keluar padahal stok masih banyak kocak habis natan bintang tiga tidak bisa hero di shop masih koin lebih tidak muncul satu pun level deh maksimal padahal parah,1,effectiveness,negative
the best game,5,unknown,positive
game bloon hero tidak di kasihparah sih rasa keadilan main tidak fairparah parah hero tidak keluar keluar,1,satisfaction,negative
keren dan enjoy mainnya,5,satisfaction,positive
seru tapi mohon untuk di permudah menaikan bintang commander,4,satisfaction,positive
sangat menyenangkan buat pelayer mlbb,5,satisfaction,positive
mantap pokok nya mahh debesttt,5,satisfaction,positive
hero nya diumpetin terus sampai habis gold kagak muncul bangkai memang ini game buruk sekali dalam memunculkan hero yang sama,1,effectiveness,negative
sepinter apapun mainnya kalau tokonya ampas ya enggak bakal menang mudah dan satu match bakal main lama sekali ngabisin terlalu banyak waktu doang mainin ini game saya yakin yang masih fun mainin ini game cuma conten creator yang memang dapat duit dari konten sisanya paling bocah yang hidupnya belum ngemban tanggung jawab sama pengangguran yang memang enggak punya tanggung jawab,1,satisfaction,negative
lumayan buat ngisi waktu luang,5,satisfaction,positive
sering lag servernya koneksi wifi mbps lancar jaya tapi gamenya lag diperbaiki severnya refresh di shop tidak jelas hero tidak ada yang menggunakan tidak pernah muncul di shop stok masih banyak tapi sudah didapat dark sistem game tolol,1,satisfaction,negative
tidak seru,1,satisfaction,negative
sumpah kesel saya dari awal main mcgg ini saya kesel sekali yang namanya comander wanwan kombo yang keluar petir kombo sampah mengapa di mengadakan damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo seperti begitu tolong lah hapus kombo yang sampah ituganggu sekali tuh petirnya risi saya setiap ketemu kombo sampah ituudah mah wanwan mengeluarkan skilpetir rusak semua,1,satisfaction,negative
saya pemain lama di magic chess mobile legend magic chess yang sekarang tidak enak banyak yang di rubah,5,satisfaction,negative
synerginya tidak seimbang dari segi damage dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya jadi kurang enak waktu memainkannya coba perbaiki dulu biar seimbang,1,satisfaction,negative
untuk severnya pilih pilih,1,effectiveness,neutral
game kurang adil susah dapat hero padahal tidak ada yang menggunakan,1,satisfaction,negative
saya kangen sama magic ches yang dulu kalau menggunakan comander bass skil dapat gatot menggunakan elementalis,1,effectiveness,positive
games ok,5,unknown,positive
gacor kangg,5,satisfaction,negative
buruk mau login malah tetap suruh buat akun padahal sudah ada,1,effectiveness,negative
mantap intinya jangan pilikasih di game ok ok,5,satisfaction,positive
perbaiki lagi sistem nya tidak jelas awal² masih peserta ketemu lawan nya itu lagi itu lagi tidak muter tidak seperti mc di ml,1,satisfaction,negative
serubikin penasaran,5,satisfaction,positive
semua game moonton membuat kesal selalu eror saat momen krusial padahal koneksi bagus bukan happy malah stres yang ada,1,satisfaction,negative
game nya oon,1,satisfaction,negative
dari sistem terus asyu,1,unknown,negative
aga bingung dengan sinerginya,3,satisfaction,negative
saran saja sih mending di hapus gams nya dikit di nerf op dikit di nerf tidak komender tidak sinerji sama saja di nerf semua,1,satisfaction,negative
sip lah pokok nya,5,satisfaction,positive
terimakasih,5,satisfaction,positive
game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak,1,effectiveness,negative
jos gandos,5,unknown,positive
lumayan lahuntuk sementara,5,satisfaction,positive
ampas sengaja sekali ngebuat lawan dapat di kasih kartu bagus bagus lawan di kasih kristal sinergi gue di kasih ampas,1,satisfaction,negative
game tolol akun saya hilang yet,1,effectiveness,negative
gamenya seru tapi akan seru lagi kalok saat menang atau ata quest yang di mana hadiahnya adalah hero yang ada di mlbb yang setuju like sampai agar di lihat sama papa monton,4,satisfaction,positive
orangnya pada egois,1,satisfaction,negative
game bagus cuma role bawah di hilangkan kan saja,5,satisfaction,negative
game menang kalah di atur deflover nya makin hancur semenjak aplikasi mcgg rilis kagak benar lagi main main nya,1,effectiveness,negative
izinkan penonton pertandingan menjual hero yang di tonton,1,effectiveness,neutral
kenapa saya tidak dapat menginstal game ini,5,effectiveness,negative
saya heran sama sinergi summoner popoludah bintang saja yang keluar popol terus padahal sun sama vexana belum ada kenapa montoot kenapaaaaaaa kadang saya kesel sama popol terus trusan babi benerin lah montod,2,satisfaction,negative
game bagus mnghibur,5,satisfaction,positive
nicee,5,unknown,positive
rugi kalau tidak donlod game nya bagus,5,satisfaction,negative
permainan yang sangat buruk emakin banyak sinergi semakin sulit temukan gero yang sama hero yang di pakai malah susah di dapat kalau ada bintang minus saya kasih penilaian paling buruk karena membuat stres saja tidak di bolehin naik level muntun butut,1,satisfaction,negative
kenapa saya sedang dalam permainan sering mental keluarnyakeluar sendiri dalam permainan tolong penjelasanya,1,satisfaction,negative
permainan membosankan kalah nya kali menangnya kali gila apak kalian,1,satisfaction,negative
aduh yang jelas dong role role an nya sudah enggak ada yang nabrak masa tidak pernah muncul heronya di shop sudah slot tinggi jugab,1,effectiveness,negative
mantepppp,5,satisfaction,positive
ngurus server yang benar yakali menghubungkan ulang terus mana saat lagi late game pula,1,satisfaction,negative
semua bagus sangat bagus untuk banyak commander game play grafik dan lainnya sangat bagus,5,satisfaction,positive
semakin kesini semakin berat ini game,4,unknown,negative
masih ada yang main dengan chat curang,1,satisfaction,negative
sudah bagus tungkatkan saja,5,satisfaction,negative
pecah hubungan dengan mobel lagend mana lelet dan kbmbgb besar,1,effectiveness,negative
saya cinta mcgg,5,unknown,positive
quit addictive dan menghibur,5,satisfaction,positive
bagus² tingkat kan lagi,5,satisfaction,negative
cape saya main game ini ajg tidak benar sistemnya pilih kasih lagi,5,effectiveness,negative
saya punya saran tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero kemudian ada pengambilan baru kristal seperti di magic ches yang ada di ml dulu soal nya yang sekarang tidak menarik sama sekali juga sinergi elementalis di adakan lagi,1,effectiveness,negative
game apalah damage comander sampai kurangi lah main jadi tidak lama langsung kalah damage comander yang di terima nya besar mau roll atas bagaimana mending saya hapus game nya,1,satisfaction,negative
aamon nerf woygak pernah lepas nih,5,satisfaction,negative
i love this game,5,unknown,positive
terlalu susah,5,satisfaction,negative
tidak jelas ini game nya tergantung hokikadang tidak di kasih hokigogo card suka tidak jelas blessing tidak jelasdi kasih menang dulubaru nanti di balikin lagi poin nya ke awalkaya bukan ngpush tapi di jadikan boneka moonton,1,satisfaction,negative
game setingan taikk menang kali selanjut nya kalah terus ketemu lawan yang tidak ngotak dapat bintang saja susah di awal giliran dapat bintang hero lawan sudah bintang tidak imbang apa lagi sistem miror anjayy sudah tahu ketemu miror nya saja sudah kalah di ketemuin sama yang asli buat gogo card juga tidak ngotak kelihatan kalau mau di kalahin serba jelek bedan sama lawan serba dapat bagus,1,satisfaction,negative
sempurnaperfect,5,unknown,positive
banyak bug,1,effectiveness,negative
gas bos ku,5,satisfaction,negative
bagusnya lagi kalau ada mode yang bisa menggunakan skil comander mantap itu pasti,5,satisfaction,positive
permainannya sungguh menarik dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus,5,satisfaction,positive
sangatttttt bagus,5,satisfaction,positive
jika saya mendapatkan biji astro saya akan topup digem ini sebanyakbanyaknya,5,satisfaction,neutral
jegoss tenan ini iki,5,satisfaction,negative
sebenarnya bagus bagus saja game nyhanya saja masalah saat mengunduh datatidak bisa di jedakalo tujuan nya memang buat yang beli skin atau chess masuk akaltapi tidak semua orang seperti itutolong ya,4,satisfaction,negative
ok,5,unknown,positive
bagus sekali game nya pokoknya joss,5,satisfaction,positive
game nya bagus cocok buat santai,5,satisfaction,positive
asik dan lucu,5,satisfaction,positive
malesnya update menggunakan segala download data,2,satisfaction,negative
saya suka sekaliigame nya seru sekali,5,satisfaction,positive
game kontooooi,1,unknown,negative
game bawa pusing susah dapat hero yang sama dengan sinergidijual semua hero tetap tidak keluar juga hero nya,1,satisfaction,negative
tidak jelas enakan seperti dulu ini harus tutor mana lama lagi tidak bisa di skip,1,unknown,negative
makin kesini makin tidak jelas ggcdnya jadi malas buat main lagi,1,satisfaction,negative
game sakit gilee enggak di kasih menang enggak setara,1,satisfaction,negative
seruh sih game nya saya masa karakter miya atau wanwan ikut main juga tidak seruh jadi saya kasih bintang,3,satisfaction,negative
tolong beri saya keuntungan dalam mendapatkan hero maupun gogocard nicke name dio jambu,5,effectiveness,neutral
mantap rasanya seperti dulu main tapi di sih dan sih serasa commander dulu sudah tidak bisa di menggunakan di season mana pun karena tidak ada perubahan atau nerf,4,satisfaction,negative
seru simpel,5,satisfaction,positive
game apaan ini main tidak pernah di kasih menang selalu kalah terus menerus niat mau happy malah membuat darah tinggi,1,satisfaction,negative
game kontoooll,1,unknown,positive
agak samaratakan dulu kehokian pemain,3,satisfaction,negative
jangan download game dari moonton,1,satisfaction,neutral
game biar tidak bosan,5,satisfaction,positive
obat bosan,5,satisfaction,negative
hero yang saya mau tidak pernah dapat jadi kalah terus bukanya saya tidak tahu main ya,1,effectiveness,negative
funny game,5,unknown,positive
game anjj,1,unknown,negative
game cacad,1,unknown,negative
tidak bisa saya mainkan di menu terus saya,1,satisfaction,negative
ok siap tempur,5,unknown,positive
kasih hero yang betol entot,1,effectiveness,negative
tolong ganti sinergi baru menjadi yang lama,1,effectiveness,negative
mengecewakan,1,satisfaction,negative
game gampang,5,satisfaction,positive
sistem nya agak lain pemain ada kadang kalau deh di dalam game duel nya sama² itu saja padahal pemain nya ada,3,satisfaction,negative
lumayan bagus,5,satisfaction,positive
mantap buat menbunuh waktu,5,satisfaction,positive
game hama,1,satisfaction,negative
wokeyasik,5,unknown,positive
yang benar saja kemungkinan buat keluar hero harga tapi yang keluar banyaknya harga enggak jelas di keterangan hero yang tersisa saja masih lagi tapi enggak ada keluar sama sekali aneh sekali yang keluar malah hero hero yang bukan sinerginya saya deh rol dari gold sampai habis kacau,1,satisfaction,negative
lebih seru msgic chees dari pada mcggmaen mcgg masih banyak di atur sistem buat kemenangan nya,1,satisfaction,positive
rame bisa di mainkan kapan saja,5,satisfaction,neutral
jjjjj tidak bagus,1,satisfaction,negative
game apa ini jelek semakin sering di mainkan semakin turun bintang semakin susah dapat commander game apa ini membosankan bulan di legend naik turun naik turun bintang tidak naik naik ke mytic setiap main dapat nomor main berikut nya langsung turun nomor lawan terasa berat dan kuat padahal hero nya lemah anehgame anehsetiap hari main bukan nya makin naik bintang malah makin turun hapus saja game ini jelek,1,satisfaction,negative
sampai glori keren cok benar benar seperti rank,5,satisfaction,positive
ini game yang saya sukai game ciptaan montoon ini memang bes,5,satisfaction,positive
sampah sering terjadinya eror,1,effectiveness,negative
stupid roll sistem,1,unknown,negative
game yang agak bergantung beruntung gamenya lancar otak langsung oblak terpana sama gameplaynya tiap round,4,effectiveness,positive
game enggak jelas blessing nya enggak mau ganti taii game enggak jelas,1,satisfaction,negative
good joob,5,unknown,positive
mantap lah pokoknya,5,satisfaction,positive
game busuk lag padahal saya sudah mencoba lumayan seru ponsel saya oppo aman saja buat main yang lain kalau enggak karena gamenya apa lagi,1,satisfaction,negative
dark sistemnya di kurangi,5,satisfaction,negative
